bootstrap_index,signal,reference
1.0,173703.8769230769,213415.38461538457
2.0,173627.07692307688,210691.9384615384
3.0,175405.29230769226,211267.9384615384
4.0,174790.89230769227,212408.12307692302
5.0,172799.99999999997,211631.2615384615
6.0,173993.3538461538,210650.58461538458
7.0,171574.15384615381,212322.4615384615
8.0,173361.23076923072,210641.72307692302
9.0,174436.43076923073,210978.4615384615
10.0,175792.24615384612,210414.2769230769
11.0,170590.52307692304,209542.89230769227
12.0,170534.39999999997,209923.9384615384
