chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
2026-03-21T08:21:03,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_012103.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_000.png,5000,2026-03-21T08:02:42,0.897821790270034,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_000.png,0,1138.002,1138.002,2026-03-21 07:22:02,21622.03,,manual_initial,217959.68866875567,95000,1.0,4850.0,259276.66666666666,success,-1.5334080808080806,-2.114585858585858,-2.8580303030303025,20260321_010242,195163.44890326489,194953.84615384613,20260321_012103
2026-03-21T08:40:01,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_014001.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_001.png,5000,2026-03-21T08:21:40,0.8999704536764841,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_001.png,1,1137.981,2275.962,2026-03-21 07:22:01,20483.661,4850.0,success,208107.5831395936,90000,1.0,6540.0,257276.66666666666,success,-1.6546202020202019,-2.235797979797979,-2.7570202020202013,20260321_010242,186696.27413322547,186683.07692307688,20260321_014001
2026-03-21T08:58:59,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_015859.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_002.png,5000,2026-03-21T08:40:38,0.8934624953390867,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_002.png,2,1138.085,3414.255,2026-03-21 07:22:04,19347.445,6540.0,success,213366.28323056703,85000,1.0,5430.0,258950.0,success,-1.7758323232323228,-2.195393939393938,-2.959040404040403,20260321_010242,190136.08814313146,190227.69230769228,20260321_015859
2026-03-21T09:17:58,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_021757.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_003.png,5000,2026-03-21T08:59:36,0.8948384812340653,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_003.png,3,1138.143,4552.573,2026-03-21 07:22:05,18210.292,5430.0,success,216774.26867482055,80000,1.0,5893.333333333333,256330.0,success,-1.8162363636363634,-2.1549898989898972,-3.1610606060606052,20260321_010242,193454.79834226216,193772.30769230766,20260321_021757
2026-03-21T09:36:56,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_023656.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_004.png,5000,2026-03-21T09:18:34,0.8900960839841892,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_004.png,4,1138.172,5690.86,2026-03-21 07:22:05,17072.579,5893.333333333333,success,210577.01405033862,75000,1.0,5320.0,257133.33333333334,success,-1.9576505050505049,-2.195393939393937,-3.060050505050505,20260321_010242,186907.42949560293,186092.30769230766,20260321_023656
2026-03-21T09:55:54,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_025554.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_005.png,5000,2026-03-21T09:37:33,0.8952279283828678,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_005.png,5,1138.194,6829.163,2026-03-21 07:22:06,15934.714,5320.0,success,211526.43687455772,70000,1.0,5986.666666666667,254480.0,success,-2.0586606060606054,-2.0337777777777752,-3.161060606060607,20260321_010242,188831.89325785905,189046.15384615381,20260321_025554
2026-03-21T10:14:53,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_031452.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_006.png,5000,2026-03-21T09:56:31,0.8973249861234897,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_006.png,6,1138.217,7967.517,2026-03-21 07:22:06,14796.818,5986.666666666667,success,217627.42949560288,65000,1.0,916.6666666666666,256800.0,success,-2.1192666666666655,-2.053979797979795,-3.161060606060607,20260321_010242,194668.94167593244,194953.84615384613,20260321_031452
2026-03-21T10:33:51,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_033350.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_007.png,5000,2026-03-21T10:15:29,0.8973729285237037,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_007.png,7,1138.232,9105.853,2026-03-21 07:22:06,13658.779,916.6666666666666,success,214789.25300717674,60000,1.0,4146.666666666667,251930.0,success,-2.0990646464646447,-1.8721616161616133,-3.666111111111113,20260321_010242,192187.0898615182,192590.7692307692,20260321_033350
2026-03-21T10:52:49,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_035249.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_008.png,5000,2026-03-21T10:34:28,0.8932726582039708,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_008.png,8,1138.24,10244.163,2026-03-21 07:22:07,12520.644,4146.666666666667,success,216320.1293844132,55000,1.0,3690.0,255136.66666666666,success,-2.1596707070707053,-1.8721616161616135,-3.4640909090909116,20260321_010242,192649.76852319814,192590.7692307692,20260321_035249
2026-03-21T11:11:47,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_041147.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_009.png,5000,2026-03-21T10:53:26,0.8950420427774398,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_009.png,9,1138.25,11382.496,2026-03-21 07:22:07,11382.496,3690.0,success,217872.7423430708,50000,1.0,4256.666666666667,255540.0,success,-2.260680808080806,-1.932767676767674,-3.3630808080808094,20260321_010242,194462.444152431,193772.30769230766,20260321_041147
