chunk_elapsed_s,chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
1127.737,2026-04-01T01:42:00+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_184159.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_000.png,2000,2026-04-01T01:23:49+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_000.png,0,1127.737,1127.737,2026-04-01 10:03:35,55259.103,,manual_initial,,98000,1.0,13726.666666666666,76450.0,success,-1.694041414141414,0.7189000000000002,-2.7583238989898993,20260331_182347,9491.798745952885,9650.261780104709,20260331_184159
1127.668,2026-04-01T02:00:47+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_190047.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_001.png,2000,2026-04-01T01:42:36+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_001.png,1,1127.703,2255.406,2026-04-01 10:03:34,54129.744,13726.666666666666,success,,96000,1.0,1530.0,76723.33333333333,success,-1.6738393939393936,0.7593040404040408,-2.657313797979798,20260331_182347,69536.0453811643,69964.39790575915,20260331_190047
1127.651,2026-04-01T02:19:35+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_191935.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_002.png,2000,2026-04-01T02:01:24+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_002.png,2,1127.686,3383.058,2026-04-01 10:03:33,53001.243,1530.0,success,,94000,1.0,3206.6666666666665,77353.33333333333,success,-1.6132333333333329,0.6178898989898995,-2.4552935959595965,20260331_182347,68180.2046076866,68356.02094240836,20260331_191935
1127.644,2026-04-01T02:38:23+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_193822.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_003.png,2000,2026-04-01T02:20:12+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_003.png,3,1127.676,4510.703,2026-04-01 10:03:32,51873.084,3206.6666666666665,success,,92000,1.0,3256.6666666666665,78103.33333333333,success,-1.532425252525252,0.65829393939394,-2.4552935959595965,20260331_182347,69489.46546910814,69160.20942408375,20260331_193822
1127.668,2026-04-01T02:57:10+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_195710.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_004.png,2000,2026-04-01T02:38:59+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_004.png,4,1127.674,5638.372,2026-04-01 10:03:32,50745.35,3256.6666666666665,success,,90000,1.0,2286.6666666666665,76026.66666666667,success,-1.4920212121212115,0.5976878787878795,-2.1522632929292937,20260331_182347,68647.83039146604,68356.02094240836,20260331_195710
1127.682,2026-04-01T03:15:58+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_201558.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_005.png,2000,2026-04-01T02:57:47+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_005.png,5,1127.676,6766.055,2026-04-01 10:03:32,49617.738,2286.6666666666665,success,,88000,1.0,1503.3333333333333,76516.66666666667,success,-1.4920212121212113,0.49667777777777866,-2.3542834949494953,20260331_182347,67707.09883425348,67551.83246073297,20260331_201558
1127.64,2026-04-01T03:34:46+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_203445.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_006.png,2000,2026-04-01T03:16:35+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_006.png,6,1127.671,7893.697,2026-04-01 10:03:32,48489.851,1503.3333333333333,success,,86000,1.0,2936.6666666666665,77290.0,success,-1.5122232323232316,0.415869696969698,-1.9502430909090913,20260331_182347,69197.65602005046,69160.20942408375,20260331_203445
1127.656,2026-04-01T03:53:33+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_205333.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_007.png,2000,2026-04-01T03:35:22+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_007.png,7,1127.669,9021.354,2026-04-01 10:03:32,47362.108,2936.6666666666665,success,,84000,1.0,2463.3333333333335,76190.0,success,-1.5526272727272719,0.2744555555555567,-2.1522632929292937,20260331_182347,65425.596475110804,65139.26701570679,20260331_205333
1127.709,2026-04-01T04:12:21+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_211221.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_008.png,2000,2026-04-01T03:54:10+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_008.png,8,1127.674,10149.064,2026-04-01 10:03:32,46234.624,2463.3333333333335,success,,82000,1.0,1750.0,76926.66666666667,success,-1.5930313131313123,0.21384949494949623,-2.0512531919191925,20260331_182347,69650.6684980868,69160.20942408375,20260331_211221
1127.612,2026-04-01T04:31:09+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_213108.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_009.png,2000,2026-04-01T04:12:58+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_009.png,9,1127.668,11276.676,2026-04-01 10:03:32,45106.705,1750.0,success,,80000,1.0,1490.0,75980.0,success,-1.5728292929292922,0.2542535353535369,-2.253273393939395,20260331_182347,68022.65490514372,67551.83246073297,20260331_213108
