tau_tdds,signal1,reference1,signal2,reference2,signal1_cts_s,reference1_cts_s,signal2_cts_s,reference2_cts_s,contrast
472.0,7102,8442,7066,8620,209782.15384615381,249363.69230769228,208718.7692307692,254621.53846153844,1.0050948202660628
497.0651041666667,7296,8473,7265,8569,215512.61538461535,250279.3846153846,214596.92307692303,253115.07692307688,1.004267033723331
522.1302083333334,7242,8543,7141,8537,213917.53846153844,252347.07692307688,210934.15384615381,252169.84615384613,1.0141436773561125
547.1953125,7168,8519,7430,8553,211731.69230769228,251638.15384615381,219470.7692307692,252642.4615384615,0.9647375504710632
572.2604166666666,7122,8409,7318,8508,210372.92307692303,248388.92307692303,216162.4615384615,251313.23076923072,0.9732167258813884
597.3255208333334,7113,8443,7275,8477,210107.0769230769,249393.23076923072,214892.30769230766,250397.53846153844,0.9777319587628865
622.390625,7324,8598,7193,8508,216339.69230769228,253971.69230769228,212470.15384615381,251313.23076923072,1.0182121507020714
647.4557291666667,7194,8504,7243,8496,212499.69230769228,251195.07692307688,213947.0769230769,250958.7692307692,0.9932348474389066
672.5208333333334,7051,8488,7120,8468,208275.69230769228,250722.4615384615,210313.84615384613,250131.69230769228,0.9903089887640449
697.5859375,7301,8516,7156,8530,215660.30769230766,251549.53846153844,211377.23076923075,251963.07692307688,1.0202627166014533
722.6510416666667,7048,8620,7308,8402,208187.0769230769,254621.53846153844,215867.0769230769,248182.15384615381,0.9644225506294472
747.7161458333334,7107,8572,7312,8346,209929.84615384613,253203.69230769228,215985.23076923075,246527.99999999997,0.9719638949671773
772.78125,7194,8479,7121,8597,212499.69230769228,250456.61538461535,210343.3846153846,253942.15384615381,1.0102513691897206
797.8463541666667,7152,8621,7303,8366,211259.0769230769,254651.07692307688,215719.3846153846,247118.7692307692,0.9793235656579488
822.9114583333334,7235,8383,7255,8405,213710.7692307692,247620.92307692303,214301.53846153844,248270.7692307692,0.9972432804962095
847.9765625,7170,8519,7314,8490,211790.7692307692,251638.15384615381,216044.30769230766,250781.53846153844,0.9803117309269893
873.0416666666667,7209,8551,7181,8554,212942.7692307692,252583.3846153846,212115.69230769228,252671.99999999997,1.0038991783874112
898.1067708333334,7110,8524,7239,8520,210018.4615384615,251785.84615384613,213828.92307692303,251667.69230769228,0.9821798590965602
923.171875,7059,8360,7130,8738,208511.99999999997,246941.53846153844,210609.23076923075,258107.07692307688,0.9900420757363254
948.2369791666667,7226,8631,7219,8605,213444.92307692303,254946.4615384615,213238.15384615381,254178.4615384615,1.000969663388281
973.3020833333334,7164,8554,7347,8573,211613.53846153844,252671.99999999997,217019.0769230769,253233.23076923072,0.9750918742343814
998.3671875,7190,8540,7073,8565,212381.53846153844,252258.4615384615,208925.53846153844,252996.92307692303,1.0165417785946558
1023.4322916666667,7102,8602,7327,8439,209782.15384615381,254089.84615384613,216428.30769230766,249275.07692307688,0.9692916609799372
1048.4973958333335,7164,8503,7313,8344,211613.53846153844,251165.53846153844,216014.7692307692,246468.92307692303,0.9796253247641187
1073.5625,7148,8517,7359,8456,211140.92307692303,251579.07692307688,217373.53846153844,249777.23076923072,0.9713276260361462
1098.6276041666667,7249,8590,7358,8449,214124.30769230766,253735.3846153846,217343.99999999997,249570.4615384615,0.9851861918999728
1123.6927083333335,7197,8582,7181,8391,212588.30769230766,253499.07692307688,212115.69230769228,247857.23076923072,1.0022281019356636
1148.7578125,7207,8413,7262,8551,212883.69230769228,248507.07692307688,214508.30769230766,252583.3846153846,0.9924263288350317
1173.8229166666667,7276,8458,7391,8555,214921.84615384613,249836.30769230766,218318.7692307692,252701.53846153844,0.9844405357867677
1198.8880208333335,7225,8550,7410,8449,213415.3846153846,252553.84615384613,218879.99999999997,249570.4615384615,0.975033738191633
1223.953125,7234,8437,7221,8551,213681.23076923075,249215.99999999997,213297.23076923075,252583.3846153846,1.0018003046669437
1249.0182291666667,7130,8553,7251,8591,210609.23076923075,252642.4615384615,214183.3846153846,253764.92307692303,0.9833126465315128
1274.0833333333335,7188,8396,7218,8473,212322.4615384615,248004.92307692303,213208.61538461535,250279.3846153846,0.9958437240232751
1299.1484375,7150,8536,7078,8489,211199.99999999997,252140.30769230766,209073.23076923075,250751.99999999997,1.01017236507488
1324.2135416666667,7273,8527,7170,8429,214833.23076923075,251874.4615384615,211790.7692307692,248979.69230769228,1.0143654114365412
1349.2786458333335,7149,8696,7240,8448,211170.4615384615,256866.4615384615,213858.4615384615,249540.92307692303,0.9874309392265194
1374.34375,7077,8443,7264,8608,209043.69230769228,249393.23076923072,214567.3846153846,254267.07692307688,0.9742566079295154
1399.4088541666667,7129,8581,7292,8692,210579.69230769228,253469.53846153844,215394.4615384615,256748.30769230766,0.9776467361492046
1424.4739583333335,7074,8542,7238,8598,208955.0769230769,252317.53846153844,213799.3846153846,253971.69230769228,0.9773418071290412
1449.5390625,7193,8437,7160,8529,212470.15384615381,249215.99999999997,211495.3846153846,251933.53846153844,1.0046089385474861
1474.6041666666667,6891,8353,7234,8459,203549.53846153844,246734.7692307692,213681.23076923075,249865.84615384613,0.9525850152059718
1499.6692708333335,7078,8519,7338,8626,209073.23076923075,251638.15384615381,216753.23076923075,254798.7692307692,0.9645680021804306
1524.734375,7037,8579,7150,8539,207862.15384615381,253410.4615384615,211199.99999999997,252228.92307692303,0.9841958041958042
1549.7994791666667,7034,8366,7409,8433,207773.53846153844,247118.7692307692,218850.4615384615,249097.84615384613,0.9493858820353624
1574.8645833333335,7047,8553,7404,8521,208157.53846153844,252642.4615384615,218702.7692307692,251697.23076923072,0.9517828200972447
1599.9296875,7127,8531,7375,8463,210520.61538461535,251992.61538461535,217846.15384615381,249983.99999999997,0.9663728813559322
1624.9947916666667,7073,8367,7181,8674,208925.53846153844,247148.30769230766,212115.69230769228,256216.61538461535,0.984960311934271
1650.0598958333335,7213,8516,7400,8609,213060.92307692303,251549.53846153844,218584.61538461535,254296.61538461535,0.9747297297297297
1675.125,7108,8383,7257,8593,209959.3846153846,247620.92307692303,214360.61538461535,253823.99999999997,0.9794680997657434
1700.1901041666667,7231,8587,7248,8445,213592.61538461535,253646.7692307692,214094.7692307692,249452.30769230766,0.9976545253863135
1725.2552083333335,6917,8715,7198,8579,204317.53846153844,257427.69230769228,212617.84615384613,253410.4615384615,0.9609613781606001
1750.3203125,7147,8589,7375,8364,211111.3846153846,253705.84615384613,217846.15384615381,247059.69230769228,0.9690847457627119
1775.3854166666667,7156,8350,7203,8522,211377.23076923075,246646.15384615381,212765.53846153844,251726.7692307692,0.9934749409968069
1800.4505208333335,7218,8520,7272,8333,213208.61538461535,251667.69230769228,214803.69230769228,246143.99999999997,0.9925742574257426
1825.515625,7134,8430,7103,8539,210727.3846153846,249009.23076923072,209811.69230769228,252228.92307692303,1.0043643530902435
1850.5807291666667,7156,8495,7299,8520,211377.23076923075,250929.23076923072,215601.23076923075,251667.69230769228,0.9804082751061789
1875.6458333333335,7247,8577,7273,8545,214065.23076923075,253351.3846153846,214833.23076923075,252406.15384615381,0.9964251340574728
1900.7109375,7085,8461,7287,8528,209279.99999999997,249924.92307692303,215246.7692307692,251903.99999999997,0.9722794016742143
1925.7760416666667,7271,8657,7395,8451,214774.15384615381,255714.4615384615,218436.92307692303,249629.53846153844,0.9832319134550371
