# Time(s),Voltage(V)
6.796874999999999955e-12,8.000000000000000383e-04
2.679687499999999955e-11,8.000000000000000383e-04
4.679687499999999511e-11,8.000000000000000383e-04
6.679687500000000359e-11,0.000000000000000000e+00
8.679687499999999915e-11,8.000000000000000383e-04
1.067968749999999947e-10,8.000000000000000383e-04
1.267968750000000032e-10,8.000000000000000383e-04
1.467968749999999858e-10,0.000000000000000000e+00
1.667968749999999943e-10,0.000000000000000000e+00
1.867968750000000028e-10,0.000000000000000000e+00
2.067968749999999854e-10,0.000000000000000000e+00
2.267968749999999939e-10,0.000000000000000000e+00
2.467968750000000024e-10,0.000000000000000000e+00
2.667968749999999850e-10,0.000000000000000000e+00
2.867968749999999677e-10,0.000000000000000000e+00
3.067968750000000020e-10,0.000000000000000000e+00
3.267968749999999846e-10,0.000000000000000000e+00
3.467968749999999673e-10,0.000000000000000000e+00
3.667968750000000016e-10,0.000000000000000000e+00
3.867968749999999842e-10,0.000000000000000000e+00
4.067968749999999669e-10,8.000000000000000383e-04
4.267968750000000012e-10,8.000000000000000383e-04
4.467968749999999838e-10,8.000000000000000383e-04
4.667968749999999148e-10,0.000000000000000000e+00
4.867968749999999491e-10,8.000000000000000383e-04
5.067968749999998800e-10,8.000000000000000383e-04
5.267968749999999144e-10,8.000000000000000383e-04
5.467968749999999487e-10,0.000000000000000000e+00
5.667968749999998796e-10,8.000000000000000383e-04
5.867968749999999140e-10,8.000000000000000383e-04
6.067968749999999483e-10,8.000000000000000383e-04
6.267968749999998792e-10,0.000000000000000000e+00
6.467968749999999136e-10,8.000000000000000383e-04
6.667968749999999479e-10,8.000000000000000383e-04
6.867968749999998788e-10,8.000000000000000383e-04
7.067968749999999132e-10,8.000000000000000383e-04
7.267968749999999475e-10,8.000000000000000383e-04
7.467968749999998784e-10,8.000000000000000383e-04
7.667968749999999128e-10,8.000000000000000383e-04
7.867968749999999471e-10,8.000000000000000383e-04
8.067968749999998780e-10,0.000000000000000000e+00
8.267968749999999124e-10,8.000000000000000383e-04
8.467968749999999467e-10,8.000000000000000383e-04
8.667968749999998776e-10,8.000000000000000383e-04
8.867968749999999120e-10,0.000000000000000000e+00
9.067968749999999463e-10,8.000000000000000383e-04
9.267968749999998772e-10,8.000000000000000383e-04
9.467968749999999116e-10,8.000000000000000383e-04
9.667968750000000493e-10,0.000000000000000000e+00
9.867968749999999802e-10,8.000000000000000383e-04
1.006796874999999911e-09,8.000000000000000383e-04
1.026796875000000049e-09,8.000000000000000383e-04
1.046796874999999980e-09,8.000000000000000383e-04
1.066796874999999911e-09,8.000000000000000383e-04
1.086796875000000049e-09,8.000000000000000383e-04
1.106796874999999979e-09,8.000000000000000383e-04
1.126796874999999910e-09,8.000000000000000383e-04
1.146796875000000048e-09,8.000000000000000383e-04
1.166796874999999979e-09,8.000000000000000383e-04
1.186796874999999910e-09,8.000000000000000383e-04
1.206796875000000048e-09,8.000000000000000383e-04
1.226796874999999979e-09,8.000000000000000383e-04
1.246796874999999910e-09,8.000000000000000383e-04
1.266796875000000047e-09,8.000000000000000383e-04
1.286796874999999978e-09,8.000000000000000383e-04
1.306796874999999909e-09,8.000000000000000383e-04
1.326796875000000047e-09,8.000000000000000383e-04
1.346796874999999978e-09,8.000000000000000383e-04
1.366796874999999909e-09,8.000000000000000383e-04
1.386796875000000047e-09,8.000000000000000383e-04
1.406796874999999977e-09,8.000000000000000383e-04
1.426796874999999908e-09,8.000000000000000383e-04
1.446796875000000046e-09,8.000000000000000383e-04
1.466796874999999977e-09,8.000000000000000383e-04
1.486796874999999908e-09,8.000000000000000383e-04
1.506796875000000046e-09,8.000000000000000383e-04
1.526796874999999977e-09,8.000000000000000383e-04
1.546796874999999908e-09,8.000000000000000383e-04
1.566796875000000045e-09,1.600000000000000077e-03
1.586796874999999976e-09,1.600000000000000077e-03
1.606796874999999907e-09,8.000000000000000383e-04
1.626796875000000045e-09,8.000000000000000383e-04
1.646796874999999976e-09,1.600000000000000077e-03
1.666796874999999907e-09,8.000000000000000383e-04
1.686796875000000045e-09,8.000000000000000383e-04
1.706796874999999975e-09,1.600000000000000077e-03
1.726796874999999906e-09,1.600000000000000077e-03
1.746796875000000044e-09,8.000000000000000383e-04
1.766796874999999975e-09,8.000000000000000383e-04
1.786796874999999906e-09,8.000000000000000383e-04
1.806796875000000044e-09,8.000000000000000383e-04
1.826796874999999975e-09,8.000000000000000383e-04
1.846796874999999906e-09,8.000000000000000383e-04
1.866796875000000043e-09,0.000000000000000000e+00
1.886796874999999561e-09,0.000000000000000000e+00
1.906796874999999905e-09,8.000000000000000383e-04
1.926796874999999836e-09,8.000000000000000383e-04
1.946796874999999767e-09,0.000000000000000000e+00
1.966796874999999698e-09,0.000000000000000000e+00
1.986796874999999629e-09,8.000000000000000383e-04
2.006796874999999560e-09,8.000000000000000383e-04
2.026796874999999904e-09,8.000000000000000383e-04
2.046796874999999835e-09,0.000000000000000000e+00
2.066796874999999766e-09,8.000000000000000383e-04
2.086796874999999697e-09,8.000000000000000383e-04
2.106796874999999628e-09,8.000000000000000383e-04
