# Time(s),Voltage(V)
5.937499999999999691e-12,0.000000000000000000e+00
2.593749999999999767e-11,0.000000000000000000e+00
4.593749999999999646e-11,0.000000000000000000e+00
6.593749999999999848e-11,0.000000000000000000e+00
8.593749999999999404e-11,0.000000000000000000e+00
1.059374999999999896e-10,0.000000000000000000e+00
1.259375000000000110e-10,0.000000000000000000e+00
1.459374999999999936e-10,0.000000000000000000e+00
1.659375000000000021e-10,0.000000000000000000e+00
1.859375000000000106e-10,0.000000000000000000e+00
2.059374999999999932e-10,0.000000000000000000e+00
2.259375000000000017e-10,0.000000000000000000e+00
2.459375000000000102e-10,0.000000000000000000e+00
2.659374999999999928e-10,0.000000000000000000e+00
2.859374999999999755e-10,0.000000000000000000e+00
3.059375000000000098e-10,0.000000000000000000e+00
3.259374999999999924e-10,0.000000000000000000e+00
3.459374999999999751e-10,0.000000000000000000e+00
3.659375000000000094e-10,0.000000000000000000e+00
3.859374999999999920e-10,0.000000000000000000e+00
4.059374999999999747e-10,0.000000000000000000e+00
4.259375000000000090e-10,0.000000000000000000e+00
4.459374999999999916e-10,0.000000000000000000e+00
4.659374999999999743e-10,0.000000000000000000e+00
4.859375000000000086e-10,0.000000000000000000e+00
5.059374999999999396e-10,0.000000000000000000e+00
5.259374999999999739e-10,0.000000000000000000e+00
5.459375000000000082e-10,0.000000000000000000e+00
5.659374999999999392e-10,0.000000000000000000e+00
5.859374999999999735e-10,-8.000000000000000383e-04
6.059375000000000078e-10,-8.000000000000000383e-04
6.259374999999999388e-10,0.000000000000000000e+00
6.459374999999999731e-10,0.000000000000000000e+00
6.659375000000000074e-10,-8.000000000000000383e-04
6.859374999999999384e-10,-8.000000000000000383e-04
7.059374999999999727e-10,0.000000000000000000e+00
7.259375000000000070e-10,0.000000000000000000e+00
7.459374999999999380e-10,-8.000000000000000383e-04
7.659374999999999723e-10,-8.000000000000000383e-04
7.859375000000000066e-10,0.000000000000000000e+00
8.059374999999999376e-10,0.000000000000000000e+00
8.259374999999999719e-10,8.000000000000000383e-04
8.459375000000000062e-10,8.000000000000000383e-04
8.659374999999999372e-10,0.000000000000000000e+00
8.859374999999999715e-10,0.000000000000000000e+00
9.059375000000000058e-10,8.000000000000000383e-04
9.259374999999999368e-10,8.000000000000000383e-04
9.459374999999997643e-10,0.000000000000000000e+00
9.659374999999999020e-10,0.000000000000000000e+00
9.859374999999998330e-10,8.000000000000000383e-04
1.005937499999999764e-09,8.000000000000000383e-04
1.025937499999999902e-09,0.000000000000000000e+00
1.045937499999999833e-09,8.000000000000000383e-04
1.065937499999999763e-09,8.000000000000000383e-04
1.085937499999999901e-09,0.000000000000000000e+00
1.105937499999999832e-09,8.000000000000000383e-04
1.125937499999999763e-09,8.000000000000000383e-04
1.145937499999999901e-09,8.000000000000000383e-04
1.165937499999999832e-09,0.000000000000000000e+00
1.185937499999999763e-09,8.000000000000000383e-04
1.205937499999999900e-09,8.000000000000000383e-04
1.225937499999999831e-09,8.000000000000000383e-04
1.245937499999999762e-09,0.000000000000000000e+00
1.265937499999999900e-09,0.000000000000000000e+00
1.285937499999999831e-09,0.000000000000000000e+00
1.305937499999999762e-09,0.000000000000000000e+00
1.325937499999999900e-09,0.000000000000000000e+00
1.345937499999999831e-09,0.000000000000000000e+00
1.365937499999999762e-09,0.000000000000000000e+00
1.385937499999999899e-09,0.000000000000000000e+00
1.405937499999999830e-09,0.000000000000000000e+00
1.425937499999999761e-09,8.000000000000000383e-04
1.445937499999999899e-09,8.000000000000000383e-04
1.465937499999999830e-09,8.000000000000000383e-04
1.485937499999999761e-09,0.000000000000000000e+00
1.505937499999999898e-09,8.000000000000000383e-04
1.525937499999999829e-09,8.000000000000000383e-04
1.545937499999999760e-09,8.000000000000000383e-04
1.565937499999999898e-09,0.000000000000000000e+00
1.585937499999999829e-09,8.000000000000000383e-04
1.605937499999999760e-09,8.000000000000000383e-04
1.625937499999999898e-09,8.000000000000000383e-04
1.645937499999999829e-09,0.000000000000000000e+00
1.665937499999999760e-09,8.000000000000000383e-04
1.685937499999999897e-09,8.000000000000000383e-04
1.705937499999999828e-09,0.000000000000000000e+00
1.725937499999999759e-09,0.000000000000000000e+00
1.745937499999999897e-09,8.000000000000000383e-04
1.765937499999999828e-09,8.000000000000000383e-04
1.785937499999999759e-09,0.000000000000000000e+00
1.805937499999999896e-09,0.000000000000000000e+00
1.825937499999999827e-09,8.000000000000000383e-04
1.845937499999999758e-09,8.000000000000000383e-04
1.865937499999999896e-09,0.000000000000000000e+00
1.885937499999999827e-09,0.000000000000000000e+00
1.905937500000000172e-09,0.000000000000000000e+00
1.925937500000000102e-09,0.000000000000000000e+00
1.945937500000000033e-09,0.000000000000000000e+00
1.965937499999999964e-09,0.000000000000000000e+00
1.985937499999999895e-09,-8.000000000000000383e-04
2.005937499999999826e-09,-8.000000000000000383e-04
2.025937500000000171e-09,0.000000000000000000e+00
2.045937500000000102e-09,0.000000000000000000e+00
2.065937500000000033e-09,-8.000000000000000383e-04
2.085937499999999964e-09,-8.000000000000000383e-04
2.105937499999999894e-09,0.000000000000000000e+00
2.125937499999999825e-09,0.000000000000000000e+00
2.145937500000000170e-09,-8.000000000000000383e-04
2.165937500000000101e-09,-8.000000000000000383e-04
2.185937500000000032e-09,0.000000000000000000e+00
2.205937499999999963e-09,0.000000000000000000e+00
2.225937499999999894e-09,-8.000000000000000383e-04
2.245937499999999825e-09,-8.000000000000000383e-04
2.265937500000000169e-09,0.000000000000000000e+00
2.285937500000000100e-09,0.000000000000000000e+00
2.305937500000000031e-09,-8.000000000000000383e-04
2.325937499999999962e-09,-8.000000000000000383e-04
2.345937499999999893e-09,0.000000000000000000e+00
2.365937499999999824e-09,0.000000000000000000e+00
2.385937500000000168e-09,8.000000000000000383e-04
2.405937500000000099e-09,8.000000000000000383e-04
2.425937500000000030e-09,0.000000000000000000e+00
2.445937499999999961e-09,0.000000000000000000e+00
2.465937499999999892e-09,8.000000000000000383e-04
2.485937499999999823e-09,8.000000000000000383e-04
2.505937500000000168e-09,0.000000000000000000e+00
2.525937500000000098e-09,0.000000000000000000e+00
2.545937500000000029e-09,8.000000000000000383e-04
2.565937499999999960e-09,8.000000000000000383e-04
2.585937499999999891e-09,0.000000000000000000e+00
2.605937499999999822e-09,8.000000000000000383e-04
2.625937499999999753e-09,8.000000000000000383e-04
2.645937500000000098e-09,8.000000000000000383e-04
2.665937500000000029e-09,8.000000000000000383e-04
2.685937499999999960e-09,8.000000000000000383e-04
2.705937499999999890e-09,8.000000000000000383e-04
2.725937499999999821e-09,0.000000000000000000e+00
2.745937499999999752e-09,8.000000000000000383e-04
2.765937500000000097e-09,8.000000000000000383e-04
2.785937500000000028e-09,8.000000000000000383e-04
2.805937499999999959e-09,0.000000000000000000e+00
2.825937499999999890e-09,8.000000000000000383e-04
2.845937499999999821e-09,8.000000000000000383e-04
2.865937499999999752e-09,8.000000000000000383e-04
2.885937500000000096e-09,0.000000000000000000e+00
2.905937500000000027e-09,0.000000000000000000e+00
2.925937499999999958e-09,0.000000000000000000e+00
2.945937499999999889e-09,0.000000000000000000e+00
2.965937499999999820e-09,0.000000000000000000e+00
2.985937499999999751e-09,0.000000000000000000e+00
3.005937500000000095e-09,0.000000000000000000e+00
3.025937500000000026e-09,0.000000000000000000e+00
3.045937499999999957e-09,0.000000000000000000e+00
3.065937499999999888e-09,0.000000000000000000e+00
3.085937499999999819e-09,0.000000000000000000e+00
3.105937499999999750e-09,0.000000000000000000e+00
3.125937500000000094e-09,0.000000000000000000e+00
3.145937500000000025e-09,0.000000000000000000e+00
3.165937499999999956e-09,0.000000000000000000e+00
3.185937499999999887e-09,0.000000000000000000e+00
3.205937499999999818e-09,0.000000000000000000e+00
3.225937499999999749e-09,0.000000000000000000e+00
3.245937500000000094e-09,0.000000000000000000e+00
3.265937500000000025e-09,0.000000000000000000e+00
3.285937499999999956e-09,0.000000000000000000e+00
3.305937499999999886e-09,0.000000000000000000e+00
3.325937499999999817e-09,0.000000000000000000e+00
3.345937499999999748e-09,0.000000000000000000e+00
3.365937500000000093e-09,0.000000000000000000e+00
3.385937500000000024e-09,-8.000000000000000383e-04
3.405937499999999955e-09,0.000000000000000000e+00
3.425937499999999886e-09,0.000000000000000000e+00
3.445937499999999817e-09,0.000000000000000000e+00
3.465937499999999748e-09,-8.000000000000000383e-04
3.485937500000000092e-09,0.000000000000000000e+00
3.505937500000000023e-09,0.000000000000000000e+00
3.525937499999999954e-09,0.000000000000000000e+00
3.545937499999999885e-09,-8.000000000000000383e-04
3.565937499999999816e-09,0.000000000000000000e+00
3.585937499999999747e-09,0.000000000000000000e+00
3.605937500000000091e-09,0.000000000000000000e+00
3.625937500000000022e-09,-8.000000000000000383e-04
3.645937499999999953e-09,0.000000000000000000e+00
3.665937499999999884e-09,0.000000000000000000e+00
3.685937499999999815e-09,0.000000000000000000e+00
3.705937499999999746e-09,-8.000000000000000383e-04
3.725937499999999677e-09,0.000000000000000000e+00
3.745937500000000021e-09,0.000000000000000000e+00
3.765937499999999539e-09,0.000000000000000000e+00
3.785937499999999883e-09,-8.000000000000000383e-04
3.805937500000000228e-09,0.000000000000000000e+00
3.825937499999999745e-09,0.000000000000000000e+00
3.845937500000000090e-09,0.000000000000000000e+00
3.865937499999999607e-09,-8.000000000000000383e-04
3.885937499999999952e-09,-8.000000000000000383e-04
3.905937499999999469e-09,0.000000000000000000e+00
3.925937499999999813e-09,0.000000000000000000e+00
3.945937500000000158e-09,0.000000000000000000e+00
3.965937499999999675e-09,0.000000000000000000e+00
3.985937500000000020e-09,0.000000000000000000e+00
4.005937499999999537e-09,0.000000000000000000e+00
4.025937499999999882e-09,0.000000000000000000e+00
4.045937500000000226e-09,0.000000000000000000e+00
4.065937499999999744e-09,0.000000000000000000e+00
4.085937500000000088e-09,0.000000000000000000e+00
4.105937499999999605e-09,8.000000000000000383e-04
4.125937499999999950e-09,8.000000000000000383e-04
4.145937499999999467e-09,0.000000000000000000e+00
4.165937499999999812e-09,0.000000000000000000e+00
4.185937500000000156e-09,8.000000000000000383e-04
4.205937499999999674e-09,8.000000000000000383e-04
4.225937500000000018e-09,0.000000000000000000e+00
4.245937499999999536e-09,0.000000000000000000e+00
4.265937499999999880e-09,8.000000000000000383e-04
4.285937500000000225e-09,8.000000000000000383e-04
4.305937499999999742e-09,0.000000000000000000e+00
4.325937500000000086e-09,0.000000000000000000e+00
4.345937499999999604e-09,0.000000000000000000e+00
4.365937499999999948e-09,0.000000000000000000e+00
4.385937499999999466e-09,0.000000000000000000e+00
4.405937499999999810e-09,0.000000000000000000e+00
4.425937500000000155e-09,-8.000000000000000383e-04
4.445937499999999672e-09,-8.000000000000000383e-04
4.465937500000000017e-09,0.000000000000000000e+00
4.485937499999999534e-09,0.000000000000000000e+00
4.505937499999999878e-09,-8.000000000000000383e-04
4.525937500000000223e-09,-8.000000000000000383e-04
4.545937499999999740e-09,0.000000000000000000e+00
4.565937500000000085e-09,0.000000000000000000e+00
4.585937499999999602e-09,-8.000000000000000383e-04
4.605937499999999947e-09,-8.000000000000000383e-04
4.625937499999999464e-09,-8.000000000000000383e-04
4.645937499999999809e-09,-8.000000000000000383e-04
4.665937500000000153e-09,-8.000000000000000383e-04
4.685937499999999670e-09,-8.000000000000000383e-04
4.705937500000000015e-09,-8.000000000000000383e-04
4.725937499999999532e-09,-8.000000000000000383e-04
4.745937499999999877e-09,-8.000000000000000383e-04
4.765937500000000221e-09,-8.000000000000000383e-04
4.785937499999999739e-09,-8.000000000000000383e-04
4.805937500000000083e-09,-8.000000000000000383e-04
4.825937499999999601e-09,0.000000000000000000e+00
4.845937499999999945e-09,0.000000000000000000e+00
4.865937499999999463e-09,0.000000000000000000e+00
4.885937499999999807e-09,-8.000000000000000383e-04
4.905937500000000152e-09,0.000000000000000000e+00
4.925937499999999669e-09,0.000000000000000000e+00
4.945937500000000013e-09,0.000000000000000000e+00
4.965937499999999531e-09,-8.000000000000000383e-04
4.985937499999999875e-09,0.000000000000000000e+00
5.005937500000000220e-09,0.000000000000000000e+00
5.025937499999999737e-09,0.000000000000000000e+00
5.045937500000000082e-09,-8.000000000000000383e-04
5.065937499999999599e-09,0.000000000000000000e+00
5.085937499999999944e-09,0.000000000000000000e+00
5.105937499999999461e-09,0.000000000000000000e+00
5.125937499999999805e-09,0.000000000000000000e+00
5.145937500000000150e-09,0.000000000000000000e+00
5.165937499999999667e-09,0.000000000000000000e+00
5.185937500000000012e-09,0.000000000000000000e+00
5.205937499999999529e-09,0.000000000000000000e+00
5.225937499999999874e-09,0.000000000000000000e+00
5.245937499999999391e-09,0.000000000000000000e+00
5.265937499999999736e-09,0.000000000000000000e+00
5.285937500000000080e-09,0.000000000000000000e+00
5.305937499999999597e-09,0.000000000000000000e+00
5.325937499999999942e-09,0.000000000000000000e+00
5.345937499999999459e-09,0.000000000000000000e+00
5.365937499999999804e-09,0.000000000000000000e+00
5.385937500000000148e-09,0.000000000000000000e+00
5.405937499999999666e-09,0.000000000000000000e+00
5.425937500000000010e-09,0.000000000000000000e+00
5.445937499999999528e-09,0.000000000000000000e+00
5.465937499999999872e-09,0.000000000000000000e+00
5.485937499999999389e-09,0.000000000000000000e+00
5.505937499999999734e-09,0.000000000000000000e+00
5.525937500000000078e-09,0.000000000000000000e+00
5.545937499999999596e-09,0.000000000000000000e+00
5.565937499999999940e-09,0.000000000000000000e+00
5.585937499999999458e-09,0.000000000000000000e+00
5.605937499999999802e-09,0.000000000000000000e+00
5.625937500000000147e-09,0.000000000000000000e+00
5.645937499999999664e-09,0.000000000000000000e+00
5.665937500000000009e-09,0.000000000000000000e+00
5.685937499999999526e-09,0.000000000000000000e+00
5.705937499999999871e-09,0.000000000000000000e+00
5.725937499999999388e-09,0.000000000000000000e+00
5.745937499999999732e-09,0.000000000000000000e+00
5.765937500000000077e-09,0.000000000000000000e+00
5.785937499999999594e-09,0.000000000000000000e+00
5.805937499999999939e-09,0.000000000000000000e+00
5.825937499999999456e-09,0.000000000000000000e+00
5.845937499999999801e-09,0.000000000000000000e+00
5.865937500000000145e-09,0.000000000000000000e+00
5.885937499999999663e-09,0.000000000000000000e+00
5.905937500000000007e-09,0.000000000000000000e+00
5.925937499999999524e-09,0.000000000000000000e+00
5.945937499999999869e-09,0.000000000000000000e+00
5.965937499999999386e-09,0.000000000000000000e+00
5.985937499999999731e-09,0.000000000000000000e+00
6.005937500000000075e-09,0.000000000000000000e+00
6.025937499999999593e-09,-8.000000000000000383e-04
6.045937499999999937e-09,0.000000000000000000e+00
6.065937499999999455e-09,0.000000000000000000e+00
6.085937499999999799e-09,0.000000000000000000e+00
6.105937500000000144e-09,-8.000000000000000383e-04
6.125937499999999661e-09,0.000000000000000000e+00
6.145937500000000005e-09,0.000000000000000000e+00
6.165937499999999523e-09,0.000000000000000000e+00
6.185937499999999867e-09,-8.000000000000000383e-04
6.205937499999999385e-09,0.000000000000000000e+00
6.225937499999999729e-09,0.000000000000000000e+00
6.245937500000000074e-09,0.000000000000000000e+00
6.265937499999999591e-09,0.000000000000000000e+00
6.285937499999999936e-09,0.000000000000000000e+00
6.305937499999999453e-09,0.000000000000000000e+00
6.325937499999999797e-09,0.000000000000000000e+00
6.345937500000000142e-09,0.000000000000000000e+00
6.365937499999999659e-09,0.000000000000000000e+00
6.385937500000000004e-09,0.000000000000000000e+00
6.405937499999999521e-09,0.000000000000000000e+00
6.425937499999999866e-09,0.000000000000000000e+00
6.445937499999999383e-09,0.000000000000000000e+00
6.465937499999999728e-09,0.000000000000000000e+00
6.485937500000000072e-09,0.000000000000000000e+00
6.505937499999999589e-09,0.000000000000000000e+00
6.525937499999999934e-09,0.000000000000000000e+00
6.545937499999999451e-09,8.000000000000000383e-04
6.565937499999999796e-09,8.000000000000000383e-04
6.585937499999999313e-09,8.000000000000000383e-04
6.605937499999999658e-09,8.000000000000000383e-04
6.625937500000000002e-09,8.000000000000000383e-04
6.645937499999999520e-09,0.000000000000000000e+00
6.665937499999999864e-09,0.000000000000000000e+00
6.685937499999999381e-09,0.000000000000000000e+00
6.705937499999999726e-09,0.000000000000000000e+00
6.725937500000000071e-09,0.000000000000000000e+00
6.745937499999999588e-09,0.000000000000000000e+00
6.765937499999999932e-09,0.000000000000000000e+00
6.785937499999999450e-09,0.000000000000000000e+00
6.805937499999999794e-09,0.000000000000000000e+00
6.825937499999999312e-09,0.000000000000000000e+00
6.845937499999999656e-09,0.000000000000000000e+00
6.865937500000000001e-09,0.000000000000000000e+00
6.885937499999999518e-09,0.000000000000000000e+00
6.905937499999999863e-09,0.000000000000000000e+00
6.925937499999999380e-09,0.000000000000000000e+00
6.945937499999999724e-09,-8.000000000000000383e-04
6.965937500000000069e-09,0.000000000000000000e+00
6.985937499999999586e-09,0.000000000000000000e+00
7.005937499999999931e-09,0.000000000000000000e+00
7.025937499999999448e-09,-8.000000000000000383e-04
7.045937499999999793e-09,0.000000000000000000e+00
7.065937499999999310e-09,0.000000000000000000e+00
7.085937499999999655e-09,0.000000000000000000e+00
7.105937499999999999e-09,-8.000000000000000383e-04
7.125937499999999516e-09,0.000000000000000000e+00
7.145937499999999861e-09,0.000000000000000000e+00
7.165937499999999378e-09,0.000000000000000000e+00
7.185937499999999723e-09,0.000000000000000000e+00
7.205937500000000067e-09,0.000000000000000000e+00
7.225937499999999585e-09,0.000000000000000000e+00
7.245937499999999929e-09,0.000000000000000000e+00
7.265937499999999447e-09,0.000000000000000000e+00
7.285937499999999791e-09,0.000000000000000000e+00
7.305937499999999308e-09,0.000000000000000000e+00
7.325937499999999653e-09,0.000000000000000000e+00
7.345937499999999997e-09,0.000000000000000000e+00
7.365937499999999515e-09,0.000000000000000000e+00
7.385937499999999859e-09,0.000000000000000000e+00
7.405937499999999377e-09,0.000000000000000000e+00
7.425937499999999721e-09,0.000000000000000000e+00
7.445937500000000066e-09,0.000000000000000000e+00
7.465937500000000410e-09,0.000000000000000000e+00
7.485937499999999928e-09,0.000000000000000000e+00
7.505937499999999445e-09,0.000000000000000000e+00
7.525937499999998962e-09,0.000000000000000000e+00
7.545937500000000134e-09,0.000000000000000000e+00
7.565937499999999651e-09,0.000000000000000000e+00
7.585937499999999169e-09,0.000000000000000000e+00
7.605937500000000340e-09,0.000000000000000000e+00
7.625937499999999858e-09,0.000000000000000000e+00
7.645937499999999375e-09,0.000000000000000000e+00
7.665937499999998892e-09,0.000000000000000000e+00
7.685937500000000064e-09,0.000000000000000000e+00
7.705937499999999581e-09,0.000000000000000000e+00
7.725937499999999099e-09,0.000000000000000000e+00
7.745937500000000271e-09,0.000000000000000000e+00
7.765937499999999788e-09,0.000000000000000000e+00
7.785937499999999305e-09,0.000000000000000000e+00
7.805937499999998823e-09,0.000000000000000000e+00
7.825937499999999994e-09,0.000000000000000000e+00
7.845937499999999512e-09,0.000000000000000000e+00
7.865937499999999029e-09,0.000000000000000000e+00
7.885937500000000201e-09,0.000000000000000000e+00
7.905937499999999718e-09,0.000000000000000000e+00
7.925937499999999235e-09,0.000000000000000000e+00
7.945937500000000407e-09,0.000000000000000000e+00
7.965937499999999924e-09,0.000000000000000000e+00
7.985937499999999442e-09,0.000000000000000000e+00
8.005937499999998959e-09,0.000000000000000000e+00
8.025937500000000131e-09,0.000000000000000000e+00
