# Time(s),Voltage(V)
6.562499999999999956e-12,-2.000000000000000042e-03
2.656249999999999875e-11,-2.000000000000000042e-03
4.656250000000000077e-11,-2.000000000000000042e-03
6.656249999999999633e-11,-2.000000000000000042e-03
8.656249999999999188e-11,-2.000000000000000042e-03
1.065624999999999874e-10,-2.000000000000000042e-03
1.265624999999999959e-10,-2.000000000000000042e-03
1.465624999999999786e-10,-2.000000000000000042e-03
1.665624999999999870e-10,-2.000000000000000042e-03
1.865624999999999955e-10,-2.000000000000000042e-03
2.065624999999999782e-10,-2.000000000000000042e-03
2.265624999999999866e-10,-2.000000000000000042e-03
2.465624999999999951e-10,-2.000000000000000042e-03
2.665624999999999778e-10,-2.000000000000000042e-03
2.865624999999999604e-10,-2.000000000000000042e-03
3.065624999999999947e-10,-2.000000000000000042e-03
3.265624999999999774e-10,-2.000000000000000042e-03
3.465624999999999600e-10,-2.000000000000000042e-03
3.665624999999999943e-10,-2.000000000000000042e-03
3.865624999999999770e-10,-2.000000000000000042e-03
4.065624999999999596e-10,-2.000000000000000042e-03
4.265624999999999939e-10,-2.000000000000000042e-03
4.465624999999999766e-10,-2.000000000000000042e-03
4.665624999999999592e-10,-2.000000000000000042e-03
4.865624999999999935e-10,-2.000000000000000042e-03
5.065624999999999245e-10,-2.000000000000000042e-03
5.265624999999999588e-10,-2.000000000000000042e-03
5.465624999999999931e-10,-2.000000000000000042e-03
5.665624999999999241e-10,-2.000000000000000042e-03
5.865624999999999584e-10,-2.000000000000000042e-03
6.065624999999999927e-10,-2.000000000000000042e-03
6.265624999999999237e-10,-2.000000000000000042e-03
6.465624999999999580e-10,-2.000000000000000042e-03
6.665624999999999923e-10,-2.000000000000000042e-03
6.865624999999999233e-10,-2.000000000000000042e-03
7.065624999999999576e-10,-2.000000000000000042e-03
7.265624999999999919e-10,-2.000000000000000042e-03
7.465624999999999229e-10,-2.000000000000000042e-03
7.665624999999999572e-10,-2.000000000000000042e-03
7.865624999999999915e-10,-2.000000000000000042e-03
8.065624999999999225e-10,-2.000000000000000042e-03
8.265624999999999568e-10,-2.000000000000000042e-03
8.465624999999999911e-10,-2.000000000000000042e-03
8.665624999999999221e-10,-4.000000000000000083e-03
8.865624999999999564e-10,-2.000000000000000042e-03
9.065624999999999907e-10,-2.000000000000000042e-03
9.265624999999999217e-10,-2.000000000000000042e-03
9.465624999999998526e-10,-4.000000000000000083e-03
9.665624999999999903e-10,-2.000000000000000042e-03
9.865624999999999213e-10,-2.000000000000000042e-03
1.006562499999999852e-09,-2.000000000000000042e-03
1.026562499999999990e-09,-4.000000000000000083e-03
1.046562499999999921e-09,-2.000000000000000042e-03
1.066562499999999852e-09,-2.000000000000000042e-03
1.086562499999999990e-09,-2.000000000000000042e-03
1.106562499999999920e-09,-2.000000000000000042e-03
1.126562499999999851e-09,-2.000000000000000042e-03
1.146562499999999989e-09,-2.000000000000000042e-03
1.166562499999999920e-09,-2.000000000000000042e-03
1.186562499999999851e-09,-2.000000000000000042e-03
1.206562499999999989e-09,-2.000000000000000042e-03
1.226562499999999920e-09,-2.000000000000000042e-03
1.246562499999999851e-09,-2.000000000000000042e-03
1.266562499999999988e-09,-2.000000000000000042e-03
1.286562499999999919e-09,-2.000000000000000042e-03
1.306562499999999850e-09,-2.000000000000000042e-03
1.326562499999999988e-09,-2.000000000000000042e-03
1.346562499999999919e-09,-2.000000000000000042e-03
1.366562499999999850e-09,-2.000000000000000042e-03
1.386562499999999988e-09,-2.000000000000000042e-03
1.406562499999999918e-09,-2.000000000000000042e-03
1.426562499999999849e-09,-2.000000000000000042e-03
1.446562499999999987e-09,-2.000000000000000042e-03
1.466562499999999918e-09,-2.000000000000000042e-03
1.486562499999999849e-09,-2.000000000000000042e-03
1.506562499999999987e-09,-2.000000000000000042e-03
1.526562499999999918e-09,-2.000000000000000042e-03
1.546562499999999849e-09,-2.000000000000000042e-03
1.566562499999999986e-09,-2.000000000000000042e-03
1.586562499999999917e-09,-2.000000000000000042e-03
1.606562499999999848e-09,-2.000000000000000042e-03
1.626562499999999986e-09,-2.000000000000000042e-03
1.646562499999999917e-09,-2.000000000000000042e-03
1.666562499999999848e-09,-2.000000000000000042e-03
1.686562499999999986e-09,-2.000000000000000042e-03
1.706562499999999916e-09,-2.000000000000000042e-03
