# Time(s),Voltage(V)
3.437499999999999843e-12,0.000000000000000000e+00
2.343749999999999984e-11,-2.000000000000000042e-03
4.343749999999999863e-11,0.000000000000000000e+00
6.343749999999999419e-11,0.000000000000000000e+00
8.343749999999998975e-11,0.000000000000000000e+00
1.034374999999999853e-10,0.000000000000000000e+00
1.234374999999999938e-10,0.000000000000000000e+00
1.434374999999999764e-10,0.000000000000000000e+00
1.634374999999999849e-10,0.000000000000000000e+00
1.834374999999999934e-10,0.000000000000000000e+00
2.034374999999999760e-10,0.000000000000000000e+00
2.234374999999999845e-10,0.000000000000000000e+00
2.434375000000000188e-10,0.000000000000000000e+00
2.634375000000000015e-10,0.000000000000000000e+00
2.834374999999999841e-10,0.000000000000000000e+00
3.034375000000000184e-10,0.000000000000000000e+00
3.234375000000000011e-10,0.000000000000000000e+00
3.434374999999999837e-10,0.000000000000000000e+00
3.634375000000000180e-10,0.000000000000000000e+00
3.834375000000000007e-10,0.000000000000000000e+00
4.034374999999999833e-10,0.000000000000000000e+00
4.234375000000000176e-10,0.000000000000000000e+00
4.434375000000000003e-10,0.000000000000000000e+00
4.634374999999999829e-10,0.000000000000000000e+00
4.834374999999999656e-10,0.000000000000000000e+00
5.034374999999998965e-10,0.000000000000000000e+00
5.234374999999999308e-10,0.000000000000000000e+00
5.434374999999999652e-10,0.000000000000000000e+00
5.634374999999998961e-10,0.000000000000000000e+00
5.834374999999999304e-10,0.000000000000000000e+00
6.034374999999999648e-10,0.000000000000000000e+00
6.234374999999998957e-10,0.000000000000000000e+00
6.434374999999999300e-10,0.000000000000000000e+00
6.634374999999999644e-10,0.000000000000000000e+00
6.834374999999998953e-10,0.000000000000000000e+00
7.034374999999999296e-10,0.000000000000000000e+00
7.234374999999999640e-10,0.000000000000000000e+00
7.434374999999998949e-10,0.000000000000000000e+00
7.634374999999999292e-10,0.000000000000000000e+00
7.834374999999999636e-10,0.000000000000000000e+00
8.034374999999998945e-10,0.000000000000000000e+00
8.234374999999999288e-10,0.000000000000000000e+00
8.434374999999999632e-10,0.000000000000000000e+00
8.634374999999998941e-10,0.000000000000000000e+00
8.834374999999999284e-10,0.000000000000000000e+00
9.034374999999999628e-10,0.000000000000000000e+00
9.234374999999998937e-10,0.000000000000000000e+00
9.434374999999998246e-10,0.000000000000000000e+00
9.634374999999999624e-10,0.000000000000000000e+00
9.834374999999998933e-10,0.000000000000000000e+00
1.003437499999999824e-09,0.000000000000000000e+00
1.023437499999999962e-09,0.000000000000000000e+00
1.043437499999999893e-09,0.000000000000000000e+00
1.063437499999999824e-09,0.000000000000000000e+00
1.083437499999999962e-09,0.000000000000000000e+00
1.103437499999999892e-09,0.000000000000000000e+00
1.123437499999999823e-09,0.000000000000000000e+00
1.143437499999999961e-09,0.000000000000000000e+00
1.163437499999999892e-09,0.000000000000000000e+00
1.183437499999999823e-09,0.000000000000000000e+00
1.203437499999999961e-09,0.000000000000000000e+00
1.223437499999999892e-09,0.000000000000000000e+00
1.243437499999999823e-09,0.000000000000000000e+00
1.263437499999999960e-09,0.000000000000000000e+00
1.283437499999999891e-09,0.000000000000000000e+00
1.303437499999999822e-09,0.000000000000000000e+00
1.323437499999999960e-09,0.000000000000000000e+00
1.343437499999999891e-09,0.000000000000000000e+00
1.363437499999999822e-09,0.000000000000000000e+00
1.383437499999999960e-09,0.000000000000000000e+00
1.403437499999999891e-09,0.000000000000000000e+00
1.423437499999999821e-09,0.000000000000000000e+00
1.443437499999999959e-09,0.000000000000000000e+00
1.463437499999999890e-09,0.000000000000000000e+00
1.483437499999999821e-09,0.000000000000000000e+00
1.503437499999999959e-09,0.000000000000000000e+00
1.523437499999999890e-09,0.000000000000000000e+00
1.543437499999999821e-09,0.000000000000000000e+00
1.563437499999999958e-09,0.000000000000000000e+00
1.583437499999999889e-09,0.000000000000000000e+00
1.603437499999999820e-09,0.000000000000000000e+00
1.623437499999999958e-09,0.000000000000000000e+00
1.643437499999999889e-09,0.000000000000000000e+00
1.663437499999999820e-09,0.000000000000000000e+00
1.683437499999999958e-09,0.000000000000000000e+00
1.703437499999999889e-09,0.000000000000000000e+00
1.723437499999999819e-09,0.000000000000000000e+00
1.743437499999999957e-09,0.000000000000000000e+00
1.763437499999999888e-09,0.000000000000000000e+00
1.783437499999999819e-09,0.000000000000000000e+00
1.803437499999999957e-09,0.000000000000000000e+00
1.823437499999999888e-09,0.000000000000000000e+00
1.843437499999999819e-09,0.000000000000000000e+00
1.863437499999999956e-09,0.000000000000000000e+00
1.883437499999999887e-09,0.000000000000000000e+00
1.903437500000000232e-09,0.000000000000000000e+00
1.923437500000000163e-09,0.000000000000000000e+00
1.943437500000000094e-09,0.000000000000000000e+00
1.963437500000000025e-09,0.000000000000000000e+00
1.983437499999999956e-09,0.000000000000000000e+00
2.003437499999999887e-09,0.000000000000000000e+00
2.023437500000000231e-09,0.000000000000000000e+00
2.043437500000000162e-09,0.000000000000000000e+00
2.063437500000000093e-09,0.000000000000000000e+00
2.083437500000000024e-09,-2.000000000000000042e-03
2.103437499999999955e-09,0.000000000000000000e+00
2.123437499999999886e-09,0.000000000000000000e+00
2.143437500000000230e-09,0.000000000000000000e+00
2.163437500000000161e-09,-2.000000000000000042e-03
2.183437500000000092e-09,0.000000000000000000e+00
2.203437500000000023e-09,0.000000000000000000e+00
2.223437499999999954e-09,0.000000000000000000e+00
2.243437499999999885e-09,-2.000000000000000042e-03
2.263437500000000229e-09,0.000000000000000000e+00
2.283437500000000160e-09,0.000000000000000000e+00
2.303437500000000091e-09,0.000000000000000000e+00
2.323437500000000022e-09,-2.000000000000000042e-03
2.343437499999999953e-09,-2.000000000000000042e-03
2.363437499999999884e-09,-2.000000000000000042e-03
2.383437500000000229e-09,-2.000000000000000042e-03
2.403437500000000160e-09,-2.000000000000000042e-03
2.423437500000000091e-09,-2.000000000000000042e-03
2.443437500000000021e-09,-2.000000000000000042e-03
2.463437499999999952e-09,0.000000000000000000e+00
2.483437499999999883e-09,0.000000000000000000e+00
2.503437500000000228e-09,0.000000000000000000e+00
2.523437500000000159e-09,-2.000000000000000042e-03
2.543437500000000090e-09,0.000000000000000000e+00
2.563437500000000021e-09,0.000000000000000000e+00
2.583437499999999952e-09,0.000000000000000000e+00
2.603437499999999883e-09,-2.000000000000000042e-03
2.623437499999999813e-09,0.000000000000000000e+00
2.643437500000000158e-09,0.000000000000000000e+00
2.663437500000000089e-09,0.000000000000000000e+00
2.683437500000000020e-09,-2.000000000000000042e-03
2.703437499999999951e-09,0.000000000000000000e+00
2.723437499999999882e-09,0.000000000000000000e+00
2.743437499999999813e-09,0.000000000000000000e+00
2.763437500000000157e-09,0.000000000000000000e+00
2.783437500000000088e-09,-2.000000000000000042e-03
2.803437500000000019e-09,0.000000000000000000e+00
2.823437499999999950e-09,0.000000000000000000e+00
2.843437499999999881e-09,0.000000000000000000e+00
2.863437499999999812e-09,-2.000000000000000042e-03
2.883437500000000156e-09,0.000000000000000000e+00
2.903437500000000087e-09,0.000000000000000000e+00
2.923437500000000018e-09,0.000000000000000000e+00
2.943437499999999949e-09,-2.000000000000000042e-03
2.963437499999999880e-09,0.000000000000000000e+00
2.983437499999999811e-09,0.000000000000000000e+00
3.003437500000000156e-09,0.000000000000000000e+00
3.023437500000000087e-09,0.000000000000000000e+00
3.043437500000000017e-09,0.000000000000000000e+00
3.063437499999999948e-09,0.000000000000000000e+00
3.083437499999999879e-09,0.000000000000000000e+00
3.103437499999999810e-09,0.000000000000000000e+00
3.123437500000000155e-09,0.000000000000000000e+00
3.143437500000000086e-09,0.000000000000000000e+00
3.163437500000000017e-09,0.000000000000000000e+00
3.183437499999999948e-09,0.000000000000000000e+00
3.203437499999999879e-09,0.000000000000000000e+00
3.223437499999999809e-09,-2.000000000000000042e-03
3.243437500000000154e-09,0.000000000000000000e+00
3.263437500000000085e-09,0.000000000000000000e+00
3.283437500000000016e-09,0.000000000000000000e+00
