# Time(s),Voltage(V)
1.789062500000000123e-11,-2.000000000000000042e-03
3.789062500000000325e-11,-2.000000000000000042e-03
5.789062499999999881e-11,0.000000000000000000e+00
7.789062499999999437e-11,0.000000000000000000e+00
9.789062500000000285e-11,-2.000000000000000042e-03
1.178906249999999855e-10,-2.000000000000000042e-03
1.378906249999999940e-10,-4.000000000000000083e-03
1.578906249999999766e-10,-4.000000000000000083e-03
1.778906249999999851e-10,-2.000000000000000042e-03
1.978906249999999936e-10,-2.000000000000000042e-03
2.178906249999999762e-10,-4.000000000000000083e-03
2.378906249999999847e-10,-4.000000000000000083e-03
2.578906250000000190e-10,-2.000000000000000042e-03
2.778906250000000017e-10,-4.000000000000000083e-03
2.978906249999999843e-10,-2.000000000000000042e-03
3.178906250000000186e-10,-2.000000000000000042e-03
3.378906250000000013e-10,-4.000000000000000083e-03
3.578906249999999839e-10,-4.000000000000000083e-03
3.778906250000000182e-10,-2.000000000000000042e-03
3.978906250000000009e-10,-2.000000000000000042e-03
4.178906249999999835e-10,-2.000000000000000042e-03
4.378906250000000178e-10,-2.000000000000000042e-03
4.578906250000000005e-10,-2.000000000000000042e-03
4.778906249999999831e-10,-2.000000000000000042e-03
4.978906250000000174e-10,0.000000000000000000e+00
5.178906249999999484e-10,0.000000000000000000e+00
5.378906249999999827e-10,-2.000000000000000042e-03
5.578906250000000170e-10,-2.000000000000000042e-03
5.778906249999999480e-10,0.000000000000000000e+00
5.978906249999999823e-10,0.000000000000000000e+00
6.178906250000000166e-10,-2.000000000000000042e-03
6.378906249999999476e-10,-2.000000000000000042e-03
6.578906249999999819e-10,0.000000000000000000e+00
6.778906250000000162e-10,0.000000000000000000e+00
6.978906249999999472e-10,-2.000000000000000042e-03
7.178906249999999815e-10,-2.000000000000000042e-03
7.378906250000000158e-10,0.000000000000000000e+00
7.578906249999999468e-10,0.000000000000000000e+00
7.778906249999999811e-10,0.000000000000000000e+00
7.978906250000000154e-10,-2.000000000000000042e-03
8.178906249999999464e-10,0.000000000000000000e+00
8.378906249999999807e-10,0.000000000000000000e+00
8.578906250000000150e-10,0.000000000000000000e+00
8.778906249999999460e-10,-2.000000000000000042e-03
8.978906249999999803e-10,-2.000000000000000042e-03
9.178906250000000146e-10,-2.000000000000000042e-03
9.378906249999999456e-10,-2.000000000000000042e-03
9.578906249999998765e-10,-2.000000000000000042e-03
9.778906250000000142e-10,-2.000000000000000042e-03
9.978906249999999452e-10,-2.000000000000000042e-03
1.017890624999999876e-09,-2.000000000000000042e-03
1.037890625000000014e-09,-2.000000000000000042e-03
1.057890624999999945e-09,-2.000000000000000042e-03
1.077890624999999876e-09,-2.000000000000000042e-03
1.097890625000000013e-09,-2.000000000000000042e-03
1.117890624999999944e-09,-2.000000000000000042e-03
1.137890624999999875e-09,-2.000000000000000042e-03
1.157890625000000013e-09,-2.000000000000000042e-03
1.177890624999999944e-09,-2.000000000000000042e-03
1.197890624999999875e-09,-2.000000000000000042e-03
1.217890625000000013e-09,0.000000000000000000e+00
1.237890624999999944e-09,0.000000000000000000e+00
1.257890624999999875e-09,0.000000000000000000e+00
1.277890625000000012e-09,-2.000000000000000042e-03
1.297890624999999943e-09,0.000000000000000000e+00
1.317890624999999874e-09,0.000000000000000000e+00
1.337890625000000012e-09,0.000000000000000000e+00
1.357890624999999943e-09,-2.000000000000000042e-03
1.377890624999999874e-09,0.000000000000000000e+00
1.397890625000000011e-09,0.000000000000000000e+00
1.417890624999999942e-09,0.000000000000000000e+00
1.437890624999999873e-09,-2.000000000000000042e-03
1.457890625000000011e-09,0.000000000000000000e+00
1.477890624999999942e-09,0.000000000000000000e+00
1.497890624999999873e-09,0.000000000000000000e+00
1.517890625000000011e-09,0.000000000000000000e+00
1.537890624999999942e-09,0.000000000000000000e+00
1.557890624999999873e-09,0.000000000000000000e+00
1.577890625000000010e-09,0.000000000000000000e+00
1.597890624999999941e-09,0.000000000000000000e+00
1.617890624999999872e-09,0.000000000000000000e+00
1.637890625000000010e-09,0.000000000000000000e+00
1.657890624999999941e-09,0.000000000000000000e+00
1.677890624999999872e-09,0.000000000000000000e+00
1.697890625000000009e-09,0.000000000000000000e+00
1.717890624999999940e-09,0.000000000000000000e+00
1.737890624999999871e-09,0.000000000000000000e+00
1.757890625000000009e-09,0.000000000000000000e+00
1.777890624999999940e-09,0.000000000000000000e+00
1.797890624999999871e-09,0.000000000000000000e+00
1.817890625000000009e-09,0.000000000000000000e+00
1.837890624999999940e-09,0.000000000000000000e+00
1.857890624999999871e-09,0.000000000000000000e+00
1.877890624999999801e-09,0.000000000000000000e+00
1.897890624999999732e-09,0.000000000000000000e+00
1.917890625000000077e-09,0.000000000000000000e+00
1.937890625000000008e-09,0.000000000000000000e+00
1.957890624999999939e-09,0.000000000000000000e+00
1.977890624999999870e-09,0.000000000000000000e+00
1.997890624999999801e-09,0.000000000000000000e+00
2.017890624999999732e-09,0.000000000000000000e+00
