Time(s),Voltage(V)
2.079999999999999991e-06,0.000000000000000000e+00
2.080499999985859025e-06,0.000000000000000000e+00
2.080999999971718059e-06,0.000000000000000000e+00
2.081499999957577093e-06,0.000000000000000000e+00
2.081999999943436128e-06,0.000000000000000000e+00
2.082499999929295162e-06,0.000000000000000000e+00
2.082999999915154196e-06,0.000000000000000000e+00
2.083499999901013230e-06,0.000000000000000000e+00
2.083999999886872265e-06,0.000000000000000000e+00
2.084499999872731299e-06,0.000000000000000000e+00
2.084999999858590333e-06,0.000000000000000000e+00
2.085499999844449368e-06,0.000000000000000000e+00
2.085999999830308402e-06,0.000000000000000000e+00
2.086499999816167436e-06,0.000000000000000000e+00
2.086999999802026470e-06,0.000000000000000000e+00
2.087499999787885505e-06,0.000000000000000000e+00
2.087999999773744539e-06,0.000000000000000000e+00
2.088499999759603573e-06,0.000000000000000000e+00
2.088999999745462607e-06,0.000000000000000000e+00
2.089499999731321642e-06,0.000000000000000000e+00
2.089999999717180676e-06,0.000000000000000000e+00
2.090499999703039710e-06,0.000000000000000000e+00
2.090999999688898744e-06,0.000000000000000000e+00
2.091499999674757779e-06,0.000000000000000000e+00
2.091999999660616813e-06,0.000000000000000000e+00
2.092499999646475847e-06,0.000000000000000000e+00
2.092999999632334882e-06,0.000000000000000000e+00
2.093499999618193916e-06,0.000000000000000000e+00
2.093999999604052950e-06,0.000000000000000000e+00
2.094499999589911984e-06,0.000000000000000000e+00
2.094999999575771019e-06,0.000000000000000000e+00
2.095499999561630053e-06,0.000000000000000000e+00
2.095999999547489087e-06,0.000000000000000000e+00
2.096499999533348121e-06,0.000000000000000000e+00
2.096999999519207156e-06,0.000000000000000000e+00
2.097499999505066190e-06,0.000000000000000000e+00
2.097999999490925224e-06,0.000000000000000000e+00
2.098499999476784259e-06,0.000000000000000000e+00
2.098999999462643293e-06,0.000000000000000000e+00
2.099499999448502327e-06,0.000000000000000000e+00
2.099999999434361361e-06,0.000000000000000000e+00
2.100499999420220396e-06,0.000000000000000000e+00
2.100999999406079430e-06,0.000000000000000000e+00
2.101499999391938464e-06,0.000000000000000000e+00
2.101999999377797498e-06,0.000000000000000000e+00
2.102499999363656533e-06,0.000000000000000000e+00
2.102999999349515567e-06,0.000000000000000000e+00
2.103499999335374601e-06,0.000000000000000000e+00
2.103999999321233635e-06,0.000000000000000000e+00
2.104499999307092670e-06,0.000000000000000000e+00
2.104999999292951704e-06,0.000000000000000000e+00
2.105499999278810738e-06,0.000000000000000000e+00
2.105999999264669773e-06,0.000000000000000000e+00
2.106499999250528807e-06,0.000000000000000000e+00
2.106999999236387841e-06,0.000000000000000000e+00
2.107499999222246875e-06,0.000000000000000000e+00
2.107999999208105910e-06,0.000000000000000000e+00
2.108499999193964944e-06,0.000000000000000000e+00
2.108999999179823978e-06,0.000000000000000000e+00
2.109499999165683012e-06,0.000000000000000000e+00
2.109999999151542047e-06,0.000000000000000000e+00
2.110499999137401081e-06,0.000000000000000000e+00
2.110999999123260115e-06,0.000000000000000000e+00
2.111499999109119149e-06,0.000000000000000000e+00
2.111999999094978184e-06,0.000000000000000000e+00
2.112499999080837218e-06,0.000000000000000000e+00
2.112999999066696252e-06,0.000000000000000000e+00
