Time(s),Voltage(V)
2.234999999999999777e-06,0.000000000000000000e+00
2.235499999985858811e-06,0.000000000000000000e+00
2.235999999971717846e-06,0.000000000000000000e+00
2.236499999957576880e-06,0.000000000000000000e+00
2.236999999943435914e-06,0.000000000000000000e+00
2.237499999929294948e-06,0.000000000000000000e+00
2.237999999915153983e-06,0.000000000000000000e+00
2.238499999901013017e-06,0.000000000000000000e+00
2.238999999886872051e-06,0.000000000000000000e+00
2.239499999872731086e-06,0.000000000000000000e+00
2.239999999858590120e-06,0.000000000000000000e+00
2.240499999844449154e-06,0.000000000000000000e+00
2.240999999830308188e-06,0.000000000000000000e+00
2.241499999816167223e-06,0.000000000000000000e+00
2.241999999802026257e-06,0.000000000000000000e+00
2.242499999787885291e-06,0.000000000000000000e+00
2.242999999773744325e-06,0.000000000000000000e+00
2.243499999759603360e-06,0.000000000000000000e+00
2.243999999745462394e-06,0.000000000000000000e+00
2.244499999731321428e-06,0.000000000000000000e+00
2.244999999717180462e-06,0.000000000000000000e+00
2.245499999703039497e-06,0.000000000000000000e+00
2.245999999688898531e-06,0.000000000000000000e+00
2.246499999674757565e-06,0.000000000000000000e+00
2.246999999660616600e-06,0.000000000000000000e+00
2.247499999646475634e-06,0.000000000000000000e+00
2.247999999632334668e-06,0.000000000000000000e+00
2.248499999618193702e-06,0.000000000000000000e+00
2.248999999604052737e-06,0.000000000000000000e+00
2.249499999589911771e-06,0.000000000000000000e+00
2.249999999575770805e-06,0.000000000000000000e+00
2.250499999561629839e-06,0.000000000000000000e+00
2.250999999547488874e-06,0.000000000000000000e+00
2.251499999533347908e-06,0.000000000000000000e+00
2.251999999519206942e-06,0.000000000000000000e+00
2.252499999505065976e-06,0.000000000000000000e+00
2.252999999490925011e-06,0.000000000000000000e+00
2.253499999476784045e-06,0.000000000000000000e+00
2.253999999462643079e-06,0.000000000000000000e+00
2.254499999448502114e-06,0.000000000000000000e+00
2.254999999434361148e-06,0.000000000000000000e+00
2.255499999420220182e-06,0.000000000000000000e+00
2.255999999406079216e-06,0.000000000000000000e+00
2.256499999391938251e-06,0.000000000000000000e+00
2.256999999377797285e-06,0.000000000000000000e+00
2.257499999363656319e-06,0.000000000000000000e+00
2.257999999349515353e-06,0.000000000000000000e+00
2.258499999335374388e-06,0.000000000000000000e+00
2.258999999321233422e-06,0.000000000000000000e+00
2.259499999307092456e-06,0.000000000000000000e+00
2.259999999292951491e-06,0.000000000000000000e+00
2.260499999278810525e-06,0.000000000000000000e+00
2.260999999264669559e-06,0.000000000000000000e+00
2.261499999250528593e-06,0.000000000000000000e+00
2.261999999236387628e-06,0.000000000000000000e+00
2.262499999222246662e-06,0.000000000000000000e+00
2.262999999208105696e-06,0.000000000000000000e+00
2.263499999193964730e-06,0.000000000000000000e+00
2.263999999179823765e-06,0.000000000000000000e+00
2.264499999165682799e-06,0.000000000000000000e+00
2.264999999151541833e-06,0.000000000000000000e+00
2.265499999137400867e-06,0.000000000000000000e+00
2.265999999123259902e-06,0.000000000000000000e+00
2.266499999109118936e-06,0.000000000000000000e+00
2.266999999094977970e-06,0.000000000000000000e+00
2.267499999080837005e-06,0.000000000000000000e+00
2.267999999066696039e-06,0.000000000000000000e+00
2.268499999052555073e-06,0.000000000000000000e+00
2.268999999038414107e-06,0.000000000000000000e+00
2.269499999024273142e-06,0.000000000000000000e+00
2.269999999010132176e-06,0.000000000000000000e+00
2.270499998995991210e-06,0.000000000000000000e+00
2.270999998981850244e-06,0.000000000000000000e+00
2.271499998967709279e-06,0.000000000000000000e+00
2.271999998953568313e-06,0.000000000000000000e+00
2.272499998939427347e-06,0.000000000000000000e+00
2.272999998925286381e-06,0.000000000000000000e+00
2.273499998911145416e-06,0.000000000000000000e+00
2.273999998897004450e-06,-2.000000029802322388e-01
2.274499998882863484e-06,0.000000000000000000e+00
2.274999998868722519e-06,0.000000000000000000e+00
2.275499998854581553e-06,0.000000000000000000e+00
2.275999998840440587e-06,0.000000000000000000e+00
2.276499998826299621e-06,0.000000000000000000e+00
2.276999998812158656e-06,0.000000000000000000e+00
2.277499998798017690e-06,0.000000000000000000e+00
2.277999998783876724e-06,0.000000000000000000e+00
2.278499998769735758e-06,0.000000000000000000e+00
2.278999998755594793e-06,0.000000000000000000e+00
2.279499998741453827e-06,0.000000000000000000e+00
2.279999998727312861e-06,0.000000000000000000e+00
2.280499998713171896e-06,0.000000000000000000e+00
2.280999998699030930e-06,0.000000000000000000e+00
2.281499998684889964e-06,0.000000000000000000e+00
2.281999998670748998e-06,0.000000000000000000e+00
2.282499998656608033e-06,0.000000000000000000e+00
2.282999998642467067e-06,0.000000000000000000e+00
2.283499998628326101e-06,0.000000000000000000e+00
2.283999998614185135e-06,0.000000000000000000e+00
2.284499998600044170e-06,0.000000000000000000e+00
2.284999998585903204e-06,0.000000000000000000e+00
2.285499998571762238e-06,0.000000000000000000e+00
2.285999998557621272e-06,0.000000000000000000e+00
2.286499998543480307e-06,0.000000000000000000e+00
2.286999998529339341e-06,0.000000000000000000e+00
2.287499998515198375e-06,0.000000000000000000e+00
2.287999998501057410e-06,0.000000000000000000e+00
2.288499998486916444e-06,0.000000000000000000e+00
2.288999998472775478e-06,0.000000000000000000e+00
2.289499998458634512e-06,0.000000000000000000e+00
2.289999998444493547e-06,0.000000000000000000e+00
2.290499998430352581e-06,0.000000000000000000e+00
2.290999998416211615e-06,0.000000000000000000e+00
2.291499998402070649e-06,0.000000000000000000e+00
2.291999998387929684e-06,0.000000000000000000e+00
2.292499998373788718e-06,0.000000000000000000e+00
2.292999998359647752e-06,0.000000000000000000e+00
2.293499998345506786e-06,0.000000000000000000e+00
2.293999998331365821e-06,0.000000000000000000e+00
2.294499998317224855e-06,0.000000000000000000e+00
2.294999998303083889e-06,0.000000000000000000e+00
2.295499998288942924e-06,0.000000000000000000e+00
2.295999998274801958e-06,0.000000000000000000e+00
2.296499998260660992e-06,0.000000000000000000e+00
2.296999998246520026e-06,0.000000000000000000e+00
2.297499998232379061e-06,0.000000000000000000e+00
2.297999998218238095e-06,0.000000000000000000e+00
2.298499998204097129e-06,0.000000000000000000e+00
2.298999998189956163e-06,0.000000000000000000e+00
2.299499998175815198e-06,0.000000000000000000e+00
2.299999998161674232e-06,0.000000000000000000e+00
2.300499998147533266e-06,0.000000000000000000e+00
2.300999998133392301e-06,0.000000000000000000e+00
2.301499998119251335e-06,0.000000000000000000e+00
2.301999998105110369e-06,0.000000000000000000e+00
2.302499998090969403e-06,0.000000000000000000e+00
2.302999998076828438e-06,0.000000000000000000e+00
2.303499998062687472e-06,0.000000000000000000e+00
2.303999998048546506e-06,0.000000000000000000e+00
2.304499998034405540e-06,0.000000000000000000e+00
2.304999998020264575e-06,0.000000000000000000e+00
2.305499998006123609e-06,0.000000000000000000e+00
2.305999997991982643e-06,0.000000000000000000e+00
2.306499997977841677e-06,0.000000000000000000e+00
2.306999997963700712e-06,0.000000000000000000e+00
2.307499997949559746e-06,0.000000000000000000e+00
2.307999997935418780e-06,0.000000000000000000e+00
2.308499997921277815e-06,0.000000000000000000e+00
2.308999997907136849e-06,0.000000000000000000e+00
2.309499997892995883e-06,0.000000000000000000e+00
2.309999997878854917e-06,0.000000000000000000e+00
2.310499997864713952e-06,0.000000000000000000e+00
2.310999997850572986e-06,0.000000000000000000e+00
2.311499997836432020e-06,0.000000000000000000e+00
2.311999997822291054e-06,0.000000000000000000e+00
2.312499997808150089e-06,0.000000000000000000e+00
2.312999997794009123e-06,0.000000000000000000e+00
2.313499997779868157e-06,0.000000000000000000e+00
2.313999997765727191e-06,0.000000000000000000e+00
2.314499997751586226e-06,0.000000000000000000e+00
2.314999997737445260e-06,0.000000000000000000e+00
2.315499997723304294e-06,0.000000000000000000e+00
2.315999997709163329e-06,0.000000000000000000e+00
2.316499997695022363e-06,0.000000000000000000e+00
2.316999997680881397e-06,0.000000000000000000e+00
2.317499997666740431e-06,0.000000000000000000e+00
2.317999997652599466e-06,0.000000000000000000e+00
2.318499997638458500e-06,0.000000000000000000e+00
2.318999997624317534e-06,0.000000000000000000e+00
2.319499997610176568e-06,0.000000000000000000e+00
2.319999997596035603e-06,0.000000000000000000e+00
2.320499997581894637e-06,0.000000000000000000e+00
2.320999997567753671e-06,0.000000000000000000e+00
2.321499997553612706e-06,0.000000000000000000e+00
2.321999997539471740e-06,0.000000000000000000e+00
2.322499997525330774e-06,0.000000000000000000e+00
2.322999997511189808e-06,0.000000000000000000e+00
2.323499997497048843e-06,0.000000000000000000e+00
2.323999997482907877e-06,0.000000000000000000e+00
2.324499997468766911e-06,0.000000000000000000e+00
2.324999997454625945e-06,0.000000000000000000e+00
2.325499997440484980e-06,0.000000000000000000e+00
2.325999997426344014e-06,0.000000000000000000e+00
2.326499997412203048e-06,0.000000000000000000e+00
2.326999997398062082e-06,0.000000000000000000e+00
2.327499997383921117e-06,0.000000000000000000e+00
2.327999997369780151e-06,0.000000000000000000e+00
2.328499997355639185e-06,0.000000000000000000e+00
2.328999997341498220e-06,0.000000000000000000e+00
2.329499997327357254e-06,0.000000000000000000e+00
2.329999997313216288e-06,0.000000000000000000e+00
2.330499997299075322e-06,0.000000000000000000e+00
2.330999997284934357e-06,0.000000000000000000e+00
2.331499997270793391e-06,0.000000000000000000e+00
2.331999997256652425e-06,0.000000000000000000e+00
2.332499997242511459e-06,0.000000000000000000e+00
2.332999997228370494e-06,0.000000000000000000e+00
2.333499997214229528e-06,0.000000000000000000e+00
2.333999997200088562e-06,0.000000000000000000e+00
2.334499997185947596e-06,0.000000000000000000e+00
2.334999997171806631e-06,0.000000000000000000e+00
2.335499997157665665e-06,0.000000000000000000e+00
2.335999997143524699e-06,0.000000000000000000e+00
2.336499997129383734e-06,0.000000000000000000e+00
2.336999997115242768e-06,0.000000000000000000e+00
2.337499997101101802e-06,0.000000000000000000e+00
2.337999997086960836e-06,0.000000000000000000e+00
2.338499997072819871e-06,0.000000000000000000e+00
2.338999997058678905e-06,0.000000000000000000e+00
2.339499997044537939e-06,0.000000000000000000e+00
2.339999997030396973e-06,0.000000000000000000e+00
2.340499997016256008e-06,0.000000000000000000e+00
2.340999997002115042e-06,0.000000000000000000e+00
2.341499996987974076e-06,0.000000000000000000e+00
2.341999996973833111e-06,0.000000000000000000e+00
2.342499996959692145e-06,0.000000000000000000e+00
2.342999996945551179e-06,0.000000000000000000e+00
2.343499996931410213e-06,0.000000000000000000e+00
2.343999996917269248e-06,0.000000000000000000e+00
2.344499996903128282e-06,0.000000000000000000e+00
2.344999996888987316e-06,0.000000000000000000e+00
2.345499996874846350e-06,0.000000000000000000e+00
2.345999996860705385e-06,0.000000000000000000e+00
2.346499996846564419e-06,0.000000000000000000e+00
2.346999996832423453e-06,0.000000000000000000e+00
2.347499996818282487e-06,0.000000000000000000e+00
2.347999996804141522e-06,0.000000000000000000e+00
2.348499996790000556e-06,0.000000000000000000e+00
2.348999996775859590e-06,0.000000000000000000e+00
2.349499996761718625e-06,0.000000000000000000e+00
2.349999996747577659e-06,0.000000000000000000e+00
2.350499996733436693e-06,0.000000000000000000e+00
2.350999996719295727e-06,0.000000000000000000e+00
2.351499996705154762e-06,0.000000000000000000e+00
2.351999996691013796e-06,0.000000000000000000e+00
2.352499996676872830e-06,0.000000000000000000e+00
2.352999996662731864e-06,0.000000000000000000e+00
2.353499996648590899e-06,0.000000000000000000e+00
2.353999996634449933e-06,0.000000000000000000e+00
2.354499996620308967e-06,0.000000000000000000e+00
2.354999996606168001e-06,0.000000000000000000e+00
2.355499996592027036e-06,0.000000000000000000e+00
2.355999996577886070e-06,0.000000000000000000e+00
2.356499996563745104e-06,0.000000000000000000e+00
2.356999996549604139e-06,0.000000000000000000e+00
2.357499996535463173e-06,0.000000000000000000e+00
2.357999996521322207e-06,0.000000000000000000e+00
2.358499996507181241e-06,0.000000000000000000e+00
2.358999996493040276e-06,0.000000000000000000e+00
2.359499996478899310e-06,0.000000000000000000e+00
2.359999996464758344e-06,0.000000000000000000e+00
2.360499996450617378e-06,0.000000000000000000e+00
2.360999996436476413e-06,0.000000000000000000e+00
2.361499996422335447e-06,0.000000000000000000e+00
