Time(s),Voltage(V)
1.484999999999999970e-06,-2.000000029802322388e-01
1.485499999985859004e-06,-2.000000029802322388e-01
1.485999999971718038e-06,0.000000000000000000e+00
1.486499999957577073e-06,0.000000000000000000e+00
1.486999999943436107e-06,0.000000000000000000e+00
1.487499999929295141e-06,0.000000000000000000e+00
1.487999999915154175e-06,0.000000000000000000e+00
1.488499999901013210e-06,-2.000000029802322388e-01
1.488999999886872244e-06,-2.000000029802322388e-01
1.489499999872731278e-06,-2.000000029802322388e-01
1.489999999858590313e-06,0.000000000000000000e+00
1.490499999844449347e-06,0.000000000000000000e+00
1.490999999830308381e-06,-2.000000029802322388e-01
1.491499999816167415e-06,0.000000000000000000e+00
1.491999999802026450e-06,0.000000000000000000e+00
1.492499999787885484e-06,0.000000000000000000e+00
1.492999999773744518e-06,0.000000000000000000e+00
1.493499999759603552e-06,0.000000000000000000e+00
1.493999999745462587e-06,0.000000000000000000e+00
1.494499999731321621e-06,0.000000000000000000e+00
1.494999999717180655e-06,-2.000000029802322388e-01
1.495499999703039689e-06,0.000000000000000000e+00
1.495999999688898724e-06,0.000000000000000000e+00
1.496499999674757758e-06,0.000000000000000000e+00
1.496999999660616792e-06,0.000000000000000000e+00
1.497499999646475827e-06,0.000000000000000000e+00
1.497999999632334861e-06,0.000000000000000000e+00
1.498499999618193895e-06,0.000000000000000000e+00
1.498999999604052929e-06,0.000000000000000000e+00
1.499499999589911964e-06,0.000000000000000000e+00
1.499999999575770998e-06,0.000000000000000000e+00
1.500499999561630032e-06,0.000000000000000000e+00
1.500999999547489066e-06,0.000000000000000000e+00
1.501499999533348101e-06,-2.000000029802322388e-01
1.501999999519207135e-06,0.000000000000000000e+00
1.502499999505066169e-06,0.000000000000000000e+00
1.502999999490925204e-06,-2.000000029802322388e-01
1.503499999476784238e-06,-2.000000029802322388e-01
1.503999999462643272e-06,-2.000000029802322388e-01
1.504499999448502306e-06,-2.000000029802322388e-01
1.504999999434361341e-06,-2.000000029802322388e-01
1.505499999420220375e-06,0.000000000000000000e+00
1.505999999406079409e-06,0.000000000000000000e+00
1.506499999391938443e-06,-2.000000029802322388e-01
1.506999999377797478e-06,0.000000000000000000e+00
1.507499999363656512e-06,0.000000000000000000e+00
1.507999999349515546e-06,0.000000000000000000e+00
1.508499999335374580e-06,0.000000000000000000e+00
1.508999999321233615e-06,0.000000000000000000e+00
1.509499999307092649e-06,0.000000000000000000e+00
1.509999999292951683e-06,-2.000000029802322388e-01
1.510499999278810718e-06,0.000000000000000000e+00
1.510999999264669752e-06,0.000000000000000000e+00
1.511499999250528786e-06,-2.000000029802322388e-01
1.511999999236387820e-06,0.000000000000000000e+00
1.512499999222246855e-06,0.000000000000000000e+00
1.512999999208105889e-06,0.000000000000000000e+00
1.513499999193964923e-06,0.000000000000000000e+00
1.513999999179823957e-06,0.000000000000000000e+00
1.514499999165682992e-06,0.000000000000000000e+00
1.514999999151542026e-06,0.000000000000000000e+00
1.515499999137401060e-06,0.000000000000000000e+00
1.515999999123260094e-06,0.000000000000000000e+00
1.516499999109119129e-06,0.000000000000000000e+00
1.516999999094978163e-06,0.000000000000000000e+00
1.517499999080837197e-06,0.000000000000000000e+00
1.517999999066696232e-06,0.000000000000000000e+00
1.518499999052555266e-06,0.000000000000000000e+00
1.518999999038414300e-06,0.000000000000000000e+00
1.519499999024273334e-06,0.000000000000000000e+00
1.519999999010132369e-06,0.000000000000000000e+00
1.520499998995991403e-06,0.000000000000000000e+00
1.520999998981850437e-06,0.000000000000000000e+00
1.521499998967709471e-06,0.000000000000000000e+00
1.521999998953568506e-06,0.000000000000000000e+00
1.522499998939427540e-06,0.000000000000000000e+00
1.522999998925286574e-06,0.000000000000000000e+00
1.523499998911145609e-06,0.000000000000000000e+00
1.523999998897004643e-06,-2.000000029802322388e-01
1.524499998882863677e-06,0.000000000000000000e+00
1.524999998868722711e-06,0.000000000000000000e+00
1.525499998854581746e-06,0.000000000000000000e+00
1.525999998840440780e-06,0.000000000000000000e+00
1.526499998826299814e-06,0.000000000000000000e+00
1.526999998812158848e-06,0.000000000000000000e+00
1.527499998798017883e-06,-2.000000029802322388e-01
1.527999998783876917e-06,0.000000000000000000e+00
1.528499998769735951e-06,0.000000000000000000e+00
1.528999998755594985e-06,0.000000000000000000e+00
1.529499998741454020e-06,0.000000000000000000e+00
1.529999998727313054e-06,0.000000000000000000e+00
1.530499998713172088e-06,0.000000000000000000e+00
1.530999998699031123e-06,0.000000000000000000e+00
1.531499998684890157e-06,0.000000000000000000e+00
1.531999998670749191e-06,0.000000000000000000e+00
1.532499998656608225e-06,0.000000000000000000e+00
1.532999998642467260e-06,0.000000000000000000e+00
1.533499998628326294e-06,0.000000000000000000e+00
1.533999998614185328e-06,0.000000000000000000e+00
1.534499998600044362e-06,0.000000000000000000e+00
1.534999998585903397e-06,0.000000000000000000e+00
1.535499998571762431e-06,0.000000000000000000e+00
1.535999998557621465e-06,0.000000000000000000e+00
1.536499998543480499e-06,0.000000000000000000e+00
1.536999998529339534e-06,-2.000000029802322388e-01
1.537499998515198568e-06,-2.000000029802322388e-01
1.537999998501057602e-06,0.000000000000000000e+00
1.538499998486916637e-06,0.000000000000000000e+00
1.538999998472775671e-06,0.000000000000000000e+00
1.539499998458634705e-06,0.000000000000000000e+00
1.539999998444493739e-06,0.000000000000000000e+00
1.540499998430352774e-06,0.000000000000000000e+00
1.540999998416211808e-06,0.000000000000000000e+00
1.541499998402070842e-06,0.000000000000000000e+00
1.541999998387929876e-06,0.000000000000000000e+00
1.542499998373788911e-06,0.000000000000000000e+00
1.542999998359647945e-06,-2.000000029802322388e-01
1.543499998345506979e-06,0.000000000000000000e+00
1.543999998331366014e-06,0.000000000000000000e+00
1.544499998317225048e-06,0.000000000000000000e+00
1.544999998303084082e-06,0.000000000000000000e+00
1.545499998288943116e-06,-2.000000029802322388e-01
1.545999998274802151e-06,-2.000000029802322388e-01
1.546499998260661185e-06,-2.000000029802322388e-01
1.546999998246520219e-06,0.000000000000000000e+00
1.547499998232379253e-06,0.000000000000000000e+00
1.547999998218238288e-06,0.000000000000000000e+00
1.548499998204097322e-06,0.000000000000000000e+00
1.548999998189956356e-06,0.000000000000000000e+00
1.549499998175815390e-06,0.000000000000000000e+00
1.549999998161674425e-06,0.000000000000000000e+00
1.550499998147533459e-06,0.000000000000000000e+00
1.550999998133392493e-06,0.000000000000000000e+00
1.551499998119251528e-06,0.000000000000000000e+00
1.551999998105110562e-06,0.000000000000000000e+00
1.552499998090969596e-06,0.000000000000000000e+00
1.552999998076828630e-06,0.000000000000000000e+00
1.553499998062687665e-06,0.000000000000000000e+00
1.553999998048546699e-06,0.000000000000000000e+00
