# Time(s),Voltage(V)
1.195312500000000073e-11,-2.000000000000000042e-03
3.195312499999999790e-11,0.000000000000000000e+00
5.195312499999999992e-11,0.000000000000000000e+00
7.195312499999999548e-11,-2.000000000000000042e-03
9.195312499999999104e-11,-2.000000000000000042e-03
1.119531249999999866e-10,0.000000000000000000e+00
1.319531250000000080e-10,0.000000000000000000e+00
1.519531249999999906e-10,-2.000000000000000042e-03
1.719531249999999991e-10,-2.000000000000000042e-03
1.919531250000000076e-10,0.000000000000000000e+00
2.119531249999999902e-10,0.000000000000000000e+00
2.319531249999999987e-10,0.000000000000000000e+00
2.519531250000000072e-10,0.000000000000000000e+00
2.719531249999999898e-10,0.000000000000000000e+00
2.919531249999999725e-10,0.000000000000000000e+00
3.119531250000000068e-10,0.000000000000000000e+00
3.319531249999999894e-10,0.000000000000000000e+00
3.519531249999999721e-10,0.000000000000000000e+00
3.719531250000000064e-10,0.000000000000000000e+00
3.919531249999999890e-10,0.000000000000000000e+00
4.119531249999999717e-10,0.000000000000000000e+00
4.319531250000000060e-10,0.000000000000000000e+00
4.519531249999999886e-10,0.000000000000000000e+00
4.719531249999999713e-10,0.000000000000000000e+00
4.919531250000000056e-10,0.000000000000000000e+00
5.119531249999999365e-10,-2.000000000000000042e-03
5.319531249999999709e-10,0.000000000000000000e+00
5.519531250000000052e-10,0.000000000000000000e+00
5.719531249999999362e-10,0.000000000000000000e+00
5.919531249999999705e-10,-2.000000000000000042e-03
6.119531250000000048e-10,0.000000000000000000e+00
6.319531249999999358e-10,0.000000000000000000e+00
6.519531249999999701e-10,0.000000000000000000e+00
6.719531250000000044e-10,-2.000000000000000042e-03
6.919531249999999354e-10,0.000000000000000000e+00
7.119531249999999697e-10,0.000000000000000000e+00
7.319531250000000040e-10,0.000000000000000000e+00
7.519531249999999350e-10,0.000000000000000000e+00
7.719531249999999693e-10,0.000000000000000000e+00
7.919531250000000036e-10,0.000000000000000000e+00
8.119531249999999346e-10,0.000000000000000000e+00
8.319531249999999689e-10,0.000000000000000000e+00
8.519531250000000032e-10,0.000000000000000000e+00
8.719531249999999342e-10,0.000000000000000000e+00
8.919531249999999685e-10,0.000000000000000000e+00
9.119531250000000028e-10,0.000000000000000000e+00
9.319531249999998304e-10,0.000000000000000000e+00
9.519531249999997613e-10,0.000000000000000000e+00
9.719531249999998990e-10,0.000000000000000000e+00
9.919531249999998300e-10,0.000000000000000000e+00
1.011953124999999761e-09,0.000000000000000000e+00
1.031953124999999899e-09,0.000000000000000000e+00
1.051953124999999830e-09,0.000000000000000000e+00
1.071953124999999760e-09,0.000000000000000000e+00
1.091953124999999898e-09,0.000000000000000000e+00
1.111953124999999829e-09,0.000000000000000000e+00
1.131953124999999760e-09,0.000000000000000000e+00
1.151953124999999898e-09,0.000000000000000000e+00
1.171953124999999829e-09,0.000000000000000000e+00
1.191953124999999760e-09,0.000000000000000000e+00
1.211953124999999897e-09,0.000000000000000000e+00
1.231953124999999828e-09,0.000000000000000000e+00
1.251953124999999759e-09,0.000000000000000000e+00
1.271953124999999897e-09,0.000000000000000000e+00
1.291953124999999828e-09,0.000000000000000000e+00
1.311953124999999759e-09,0.000000000000000000e+00
1.331953124999999897e-09,0.000000000000000000e+00
1.351953124999999828e-09,0.000000000000000000e+00
1.371953124999999759e-09,0.000000000000000000e+00
1.391953124999999896e-09,0.000000000000000000e+00
1.411953124999999827e-09,0.000000000000000000e+00
1.431953124999999758e-09,0.000000000000000000e+00
1.451953124999999896e-09,0.000000000000000000e+00
1.471953124999999827e-09,0.000000000000000000e+00
1.491953124999999758e-09,0.000000000000000000e+00
1.511953124999999895e-09,0.000000000000000000e+00
1.531953124999999826e-09,0.000000000000000000e+00
1.551953124999999757e-09,0.000000000000000000e+00
1.571953124999999895e-09,0.000000000000000000e+00
1.591953124999999826e-09,0.000000000000000000e+00
1.611953124999999757e-09,0.000000000000000000e+00
1.631953124999999895e-09,0.000000000000000000e+00
1.651953124999999826e-09,0.000000000000000000e+00
1.671953124999999757e-09,0.000000000000000000e+00
1.691953124999999894e-09,0.000000000000000000e+00
1.711953124999999825e-09,0.000000000000000000e+00
1.731953124999999756e-09,0.000000000000000000e+00
1.751953124999999894e-09,0.000000000000000000e+00
1.771953124999999825e-09,0.000000000000000000e+00
1.791953124999999756e-09,0.000000000000000000e+00
1.811953124999999893e-09,0.000000000000000000e+00
1.831953124999999824e-09,0.000000000000000000e+00
1.851953124999999755e-09,0.000000000000000000e+00
1.871953125000000100e-09,0.000000000000000000e+00
1.891953124999999617e-09,0.000000000000000000e+00
1.911953124999999962e-09,0.000000000000000000e+00
1.931953124999999893e-09,0.000000000000000000e+00
1.951953124999999824e-09,0.000000000000000000e+00
1.971953124999999755e-09,0.000000000000000000e+00
1.991953124999999685e-09,0.000000000000000000e+00
2.011953124999999616e-09,0.000000000000000000e+00
2.031953124999999961e-09,0.000000000000000000e+00
2.051953124999999892e-09,0.000000000000000000e+00
2.071953124999999823e-09,0.000000000000000000e+00
2.091953124999999754e-09,0.000000000000000000e+00
2.111953124999999685e-09,0.000000000000000000e+00
2.131953124999999616e-09,0.000000000000000000e+00
