Time(s),Voltage(V)
0.000000000000000000e+00,-1.000000014901161194e-01
4.999999858590342683e-10,-1.000000014901161194e-01
9.999999717180685366e-10,0.000000000000000000e+00
1.499999957577102805e-09,-1.000000014901161194e-01
1.999999943436137073e-09,0.000000000000000000e+00
2.499999929295171341e-09,0.000000000000000000e+00
2.999999915154205610e-09,0.000000000000000000e+00
3.499999901013239878e-09,-1.000000014901161194e-01
3.999999886872274146e-09,0.000000000000000000e+00
4.499999872731308415e-09,0.000000000000000000e+00
4.999999858590342683e-09,0.000000000000000000e+00
5.499999844449376951e-09,-1.000000014901161194e-01
5.999999830308411219e-09,0.000000000000000000e+00
6.499999816167445488e-09,-1.000000014901161194e-01
6.999999802026479756e-09,-1.000000014901161194e-01
7.499999787885514024e-09,-1.000000014901161194e-01
7.999999773744548293e-09,-1.000000014901161194e-01
8.499999759603582561e-09,-1.000000014901161194e-01
8.999999745462616829e-09,0.000000000000000000e+00
9.499999731321651097e-09,-1.000000014901161194e-01
9.999999717180685366e-09,0.000000000000000000e+00
1.049999970303971963e-08,-1.000000014901161194e-01
1.099999968889875390e-08,0.000000000000000000e+00
1.149999967475778817e-08,-1.000000014901161194e-01
1.199999966061682244e-08,-1.000000014901161194e-01
1.249999964647585671e-08,-1.000000014901161194e-01
1.299999963233489098e-08,-1.000000014901161194e-01
1.349999961819392524e-08,-1.000000014901161194e-01
1.399999960405295951e-08,-1.000000014901161194e-01
1.449999958991199378e-08,-1.000000014901161194e-01
1.499999957577102805e-08,0.000000000000000000e+00
1.549999956163006232e-08,-1.000000014901161194e-01
1.599999954748909659e-08,0.000000000000000000e+00
1.649999953334813085e-08,-1.000000014901161194e-01
1.699999951920716512e-08,-1.000000014901161194e-01
1.749999950506619939e-08,0.000000000000000000e+00
1.799999949092523366e-08,-1.000000014901161194e-01
1.849999947678426793e-08,-1.000000014901161194e-01
1.899999946264330219e-08,0.000000000000000000e+00
1.949999944850233646e-08,-1.000000014901161194e-01
1.999999943436137073e-08,-1.000000014901161194e-01
2.049999942022040500e-08,-1.000000014901161194e-01
2.099999940607943927e-08,0.000000000000000000e+00
2.149999939193847354e-08,-1.000000014901161194e-01
2.199999937779750780e-08,0.000000000000000000e+00
2.249999936365654207e-08,-1.000000014901161194e-01
2.299999934951557634e-08,0.000000000000000000e+00
2.349999933537461061e-08,-1.000000014901161194e-01
2.399999932123364488e-08,-1.000000014901161194e-01
